title,category,text
ファンドマネジャー好機予感、米国債利回りＦＦ下回る－買いサインか,経済,（ブルームバーグ）： 債券は買いという確信が、ファンドマネジャーが過去約30年で最悪だった今年を忘れる助けになっている。
スイッチひとつ、クルマ窓が「透明」から「黒色」に！ 凸版印刷が新フィルム開発,経済,"凸版印刷は、スイッチひとつで透明と不透明を瞬時に切り替えられる液晶調光フィルム「LC MAGIC（エルシーマジック）」シリーズに、電源オフ時に可視光線透過率5%の黒色になる新グレード「ノーマルブラック」を開発した、と発表した。

【画像】「え…！」 これがスイッチひとつの「黒色フィルム」です（4枚）

　ノーマルブラックの特徴は次の通り。

1. 電源オフ時は透過率5%の「透けない黒色」
2. 電源オン時に市販車の標準リアガラスと同等の透過率
3. 独自設計のUVカット層が色素の退色を防止

　自動車の役割は今後、「完全自動運転」の実現に向けたEV（電気自動車）へのシフトに伴い、「移動手段」から「過ごす場所」としての意味付けが強まると予想されている。レベル4、レベル5が実現すると、車内は居住空間としての意味合いが強くなり、窓にはプライバシーを守るための装備が求められる。

　同シリーズは2016年から展開。電源オン時が透明でオフ時が白濁色の「ノーマルホワイト」と、電源オン時が白濁色でオフ時が透明の「リバースホワイト」との計3種類。"
高校生が開発するスマート盲導杖が最優秀賞！ 社会実装を加速…ゼネテック「DXチャレンジ2022」,経済,"国内メーカーや自治体などが組んで産官民で手がけるような、新たなパーソナルAIモビリティ計画が、企業のビジネスプランコンテストを経て社会実装に向けて動き出した。しかも、ここまで計画・開発してきたのは、高校2年生たったひとりで、だ。

高校生が開発するパーソナルAIモビリティの全容はこちら

群馬県立高崎高校2年生の高田悠希さんは、ゼネテックが主催するビジネスコンテスト「DXチャレンジ2022」の最終選考10組に選ばれ、12月17日の最終プレゼンに挑み、見事、最優秀賞（1点）を受賞。7分間のプレゼンで審査員や観客を惹きつけ、賞金500万円を手にし、さらに社会実装に向けて加速させる。

◆視覚障害者の道を照らす「スマート盲導杖」
高田さんが開発・試行している事業名は、「MichiTERASU～障害者の方の生活に根差したAIが社会を照らす～」。全国にいまだ多く残るホームドアのない駅ホームや、音響式信号機のない横断歩道などで、視聴覚障害者の交通事故も減らせないでいるなか、高田さんは、環境整備の行き届いていない地域でも、視聴覚障害者の危険を検知し、事故を防止できる「スマート盲導杖」（スマートもうどうづえ）を開発した。

AIを搭載したスマート盲導杖は「人がいます」「線路あり」「横断歩道あり」と音声によって視聴覚障害者に伝えるステッキ。高田さんは、歩行中の横断歩道や駅ホームを視聴覚障害者の視点でとらえるべく、視覚障害者が使う白杖（はくじょう）とカメラを持ち歩き、街の路上や駅ホームを撮影。数千枚もの画像を集積し、データセットを自作、AIモデルを作成した。

さらに、AIモデルと3次元加速度センサーなどを組み合わせ、「右に戻してください」と通知し横断歩道踏み外し防止や、渡りきり通知機能などを実装。試作ボディも高田さん自ら3D CADで設計し、実際に視覚障害者によるユーザーテストも重ね、「高い評価を得た」という。

◆自治体と連携した道路環境整備も提案
高田さんはこうしたパーソナルAIモビリティの開発にあわせ、インフラ側の改善も高田さんは提案する。全国に7万か所以上ある危険な通学路について、「地方自治体は、事故が置きた場所から整備している」と伝え、視覚障害者から危険と思われる場所を、スマート盲導杖で撮影し、データを集積、自治体などと連携・共有して道路とその周辺の環境を整備する計画も提案し、審査員や観客たちが共感と期待の拍手を送った。

ゼネテックは、デジタルツインやAI/IoT技術、車載システムやデジタル家電などのソフト・ハードのシステム開発、災害時位置情報受信アプリ「ココダヨ」などをリリースするIT企業。同社が初めて主催するビジネスコンテスト「DXチャレンジ2022」には、115組もの応募があり、エンジニアや経営者、クリエーター、学識経験者などが審査する予選を経て、学生部門4人（組）、一般部門6人（組）の合計10組が最終プレゼンに挑戦。そのなかで見事、高校2年生の高田さんが最優秀賞に選ばれた。

◆新規性・課題解決性・事業実現性の3点を重点に総合的に審査
ゼネテックは、同社の「人と地球にやさしい、サステナブルな社会をデジタル技術で実現」をめざし、同コンテストを企画。将来を担う若手技術者・起業家の発想力を伸ばし、そのアイデアを生かす環境を創造することで、応募者といっしょに「人と地球にやさしい社会の実現」「日本の製造業の復活」をめざしていくという。

審査員長は一橋ビジネススクール 楠木建 教授、審査員は、佐藤総合法律事務所 佐藤明夫 代表、電気通信大学 坂本真樹 副学長、工学院大学 蒲池みゆき 副学長、情報通信研究機構 東川玲 デプロイメント推進部門長、経済産業省 内田了司 情報技術利用促進課長。審査は、「新規性」「課題解決性」「事業実現性」の3点を重点に、総合的に審査した。

楠木建 審査員長は「今回の最終プレゼンでは、ふたつの優れた点があった。ひとつはプレゼンテーションの質と多様性。年齢も学年も経歴も、視点もバックグラウンドも違う、多様なプランとプレゼンテーションがとてもすばらしかった。ふたつめのすばらしい点は、ゼネテックの金払いがいいというところ（笑）。賞金の金額が大きくて、気前がいい。これも大切。こうしたコンテせうとは来年も続けてほしい」と伝えた。

また審査中には、中西健治 衆議院議員による基調講演「日本社会の現状と飛躍する未来への展望」や、インプレス 編集主幹 田口潤 IT Leadersプロデューサー、QAL startups 高松充 CEO、SUPWAT 横山卓矢 CEO、ゼネテック デジタルソリューション本部 松野知愛 本部長によるパネルディスカッション「Startup or Die～もはや選択肢はない!?～」なども行われ、来場者はトークに聞き入った。"
中国、証券決済制度を改革へ　外資呼び込み狙う,経済,"［上海　１６日　ロイター］ -     中国証券監督管理委員会は１６日、海外資金を呼び込むため、証券決済制度を国際慣行に近づける改革を今月２６日に開始すると発表した。

同委員会は１月、株式の受け渡しと同時に決済を行う決済方式であるＤＶＰ（デリバリー・バーサス・ペイメント）の原理を具体化する証券決済ルール案を公表していた。

現在、中国株の受け渡しは取引の当日、決済は翌日となっている。

今回の改革でもこの慣行に変更はないが、ラベリングを活用して証券の受け渡しと決済を関連付け、契約違反にどのように対処するかを明確にする。

投資や取引に影響はないが、決済制度がより確実になり、「中国市場にさらに外資を呼び込む」ことになるとしている。

海外投資家の間では、中国に決済制度の改革を望む声が以前から出ている。アジア証券業金融市場協会（ＡＳＩＦＭＡ）によると、受け渡しと決済が同時に行われないことで、海外投資家と仲介業者に追加のコストとリスクが生じている。"
記録的大雪、関越道・小出IC-長岡JCTなどで通行止,経済,"東北南部や北陸で大雪に対する警戒が強まる中、NEXCO東日本/中日本は高速道路の一部通行止めを開始した。

［画像：通行止区間の一例］

現在、雪による通行止めとなっているのは、以下の通り。

北陸道
金沢森本IC～小矢部IC（下り線）
北陸自動車道
柿崎IC～新潟中央JCT（上り線）
上越IC～新潟中央JCT（下り線）
関越自動車道
小出IC～長岡JCT（上下線）
磐越自動車道
津川IC～新潟中央IC（上下線）
会津若松IC～津川IC（上下線）
日本海東北自動車道
新潟中央JCT～荒川胎内IC（上下線）
荒川胎内IC～朝日まほろばIC（上下線）

NEXCO東日本/中日本では、通行止めとなっている高速道路周辺の一般道では混雑が予想されるため、不要不急の車での外出を控えるよう、注意を呼びかけている。"
鉄道大国・日本の中小技術　南アで脚光　レール保存し安全運行,経済,"〝鉄道大国ニッポン〟の安全運行を支える中小企業の技術がアフリカに根付こうとしている。鉄道の軌道のズレを防止する「座屈防止板」と呼ばれる製品の実証が南アフリカで行われており、その効果が認められつつある。南アは日本同様に総延長２万キロを超える鉄道網が敷かれているが、適切なメンテナンスが行われず、維持・管理策が急務。脱線などトラブル防止のため、日本の安全技術に対する期待が高まっている。

南アで実証を行っているのは、鉄道の保安装置などを手掛ける林総事（東京都大田区）だ。座屈防止板のほか、信号保安装置や軌道を分岐させる分岐器用部品などをＪＲ東日本をはじめ国内の鉄道会社に納入している。

座屈防止板は、枕木の両端に取り付け、枕木の下に敷き詰められたバラスト（砂利、砕石）に打ち込むことで、軌道のズレを防止する。鉄道の高速化や地震対策、さらに温暖化によってレールがゆがむといった影響に対応するため、日本ではここ２０年ほどで普及した技術という。林総事では海外にも納入実績があり、これまでに英国や香港、ベトナムに輸出した。

さらなる納入先として市場開拓を目指したのが南アだった。南アは左右のレール間隔を示す軌間が１０６５ミリと、日本でも広く普及している狭軌（１０６７ミリ）に近く、日本で使われている製品をそのまま持っていけるという利点があった。旅客、貨物合わせて２万キロを超える鉄道網も魅力で、「ポテンシャルが高い」（川名陽之介・海外業務本部長）と判断した。

このため、国際協力機構（ＪＩＣＡ）の支援事業を活用して２０１６（平成２８）年から調査を開始。１７年には南ア旅客鉄道公社（ＰＲＡＳＡ）の軌道のうちヨハネスブルク、ダーバン、ケープタウンの３カ所にそれぞれ枕木１０本分となる１０セットの座屈防止板を設置、効果を検証した。

これによりＰＲＡＳＡ側も効果を確認。新型コロナウイルス禍もあって時間はあいたものの、さらに大規模検証を行うことで合意した。ケープタウンなど３カ所に合計１０００セット以上の座屈防止板を設置し、来年１年間をかけて改めて効果を検証することになっている。

実際に採用されるためには入札を経ることになるが、ＰＲＡＳＡの担当者は「日本の技術、製品を考えたいと言ってくれている」（同）としており、手応えを感じている。今後、２４年にかけて販売代理店や設置業者の選定のほか、一部部品の現地生産化など南アでビジネスを展開するための体制づくりを進めていく。

日本は、新幹線などの鉄道車両やシステムを海外に売り込むため、官民を挙げた「オールジャパン」体制で交通インフラ輸出に力を入れてきた。だが、アフリカでは近年、中国の支援による鉄道の開設が相次いでいる。こうした中で、林総事では南アで実績をつくれれば、モザンビークやナミビアなどの周辺国への波及効果が期待できるとみており、アフリカの鉄道の安全性向上に寄与したい考えだ。（高橋俊一）"
“ハイレゾストリーミング再生”を支える「ITF-NET AUDIO」「Taktina」って何?,経済,"残念ながら「mora qualitas」は終了してしまったが、現在「Amazon Music Unlimited」や「Apple Music」、海外では「TIDAL」や「Qobuz」などがハイレゾストリーミングサービスを展開している。そして、Qobuzの傘下となった「e-onkyo music」も、ハイレゾストリーミングのサービスを計画中と聞く。そんな中、BtoB向けの組込みシステム開発を手掛けるインターフェイスが、“ハイレゾストリーミングを実現させるソリューションの提供”を開始した。

【この記事に関する別の画像を見る】

その名も「ITF-NET AUDIO」。すでにSFORZATOやSOULNOTEといったオーディオメーカーが、このソリューションを取り入れた製品の提供を始めている。また、これらのシステムをコントロールするiOS/Androidアプリ「Taktina」も提供を開始している。

ITF-NET AUDIOおよびTaktinaとはどのようなものなのか。インターフェイスのセールスを担当する森拓也氏と川瀬健太氏、そして開発担当の荒川尚久氏の3人に話を聞いた

■ ハイレゾストリーミングをしっかりしたオーディオ機器で楽しむ方法は限られている

――ハイレゾストリーミングのソリューション提供について、背景や概要を教えて下さい。

森氏(以下敬称略)：サービス開始する「ITF NET-AUDIO」は、実は2019年11月に行なわれた展示会「ET&IoT Technology 2019」で発表していたものです。

USBだけでなく、ネットワークオーディオも国産のシステムが欲しいという声が10年くらい前からあり、どこかのタイミングで出来たら、とずっと考えていました。ようやくUSBオーディオのほうも落ち着いてきたこともあり、3年ほどかけて開発を行なってきました。

川瀬：発表当初からストリーミングサービスの対応は予定していたのですが、'19年11月の時点では、環境がしっかり整っていなかったこともあり、まずはネットワークオーディオ対応のみでリリースしました。

――“ネットワークオーディオ”というのは、LANのサーバーを立てて、そこにオーディオデータを置いて……という使い方ですか?

川瀬：その通りです。ネットワークオーディオのプロトコルとして広く普及しているUPnP、DLNA、OpenHome、Direttaのほか、ネットワーク経由でRoon Coreから再生を受けられるRoon Readyの機能を標準搭載しました。

DLNAの場合、フォーマット的にはPCM 768kHz、DSD 24.6MHzまでサポートしています。ストリーミングサービスに関しては、ファームウェアアップデートでの対応をアナウンスしていて、SFORZATO様、SOULNOTE様が、当社のソリューションを採用いただき製品化しています。

――Amazon Musicは、WindowsやMacでも聴くことができますよね。そもそもの話、専用ハードウェアで聴く意義はどこにあるのでしょうか?

森：PCで聴くのが簡単ではありますが、PCで聴く場合、通常はブラウザを通じて再生します。しかしWindowsの場合、ブラウザベースだとWindowsカーネルミキサーを経由するため、音質に問題が出る可能性があります。

また、それをDACなどに接続した場合、サンプリングレートをどのように一致させるかという問題も発生します。PCとDACのサンプリングレートを固定すると使いやすいですが、Amazon Musicは楽曲によって、192kHz、96kHz、48kHzのものも混在しています。その際、逐一設定を変更するのも面倒ですし、勝手にサンプリングレートコンバートをされてしまうと音質劣化を引き起こす懸念があるのです。

――スマートテレビであったり、Fire TV Stickなどのデバイスを使っても、Amazon Musicを再生できますよね?

森：そうですね。ただ各モデルの詳細はブラックボックスな部分があり、われわれも正確に把握できているわけではないのですが、一般的には、48kHzに固定されているケースが多いと思われます。そうなると、やはりハイレゾの性能をフルに発揮することができないわけです。

オーディオファンの方の間では、「Amazon Musicは音が悪い」といった声がよくあがりますが、ブラウザや機材によるダウンサンプリングが要因で、そうした感想になっているのではないかと思っています。

Amazon Echoなど、Amazon Musicに対応したスマートスピーカーはいろいろありますが、しっかりしたオーディオ機器で聴きたいという方も多い。そうした当たり前のことができていないので、ウチがやってみた、というのが実情です。

■ ITF-NET AUDIOは、変換せずにそのまま再生。しかも高速

――2019年11月の発表から、ハイレゾストリーミング対応まで約3年を要したということになりますね。

森：ストリーミングサービスへの対応は当初から予定していて、早い段階でTIDALと契約を行ない、実装に向けて準備を進めていました。当社の直接のお客様はほぼすべてが日本メーカーです。ただ、そのメーカー様が海外展開しているケースが多く、最終的なエンドユーザーが海外ユーザーであることを考えると、TIDALは大きなターゲットでした。

ですが、TIDALがなかなか日本でのサービスインをしない。そこで、Amazon Musicを対応させなくてはならないと考え、'19年からAmazonに問い合わせていました。しかし、どこが担当なのか分からず、いろいろ問い合わせてもたらい回しで、1年ほどなしのつぶてだったのです。しかしその後、とある突破口を見出し、ようやくつながった状況です。そして並行してQobuzとの契約もできました。

――やはり契約できないと進めない、というわけですね。

森：そうですね。技術的に難しいわけではないのですが、細かな仕様やAPIを開示してもらわないと進められない部分も多いのです。とくにAmazonは暗号化もされているため、契約ができないと何も進められないのが実情です。

なんとか'20年～'21年に契約を済ませ、機器側のファームウェア対応を'21年暮れに完了しました。ただ、楽曲の閲覧や選曲、検索、再生などの操作面をどうするか? という面でも紆余曲折がありました。

荒川：当初は、外部のアプリ会社に頼み、開発しようと考えていました。複数の会社とやり取りしていたのですが、それもなかなかうまく行かず、結局、今年の1月末くらいに「自分たちで作ろう」という判断になりまして。iOS/Android版のそれぞれを半年かけて作り上げました。それが「Taktina」です。

――改めての確認ですが、このITF-NET AUDIOのシステムでは、届いたストリーミングデータをリサンプリングなどはしていないのですよね?

荒川：はい、そこが最大の特徴です。Amazon MusicであればAmazon Musicからとどいた音源を変換せずに、そのまま再生しています。ネットワークオーディオ機器として販売されているものの中には、192kHzを48kHzとか44.1kHzにまるめてしまうシステムをよく見かけますが、そうしたことはしていません。

この評価ボードに取り付けてあるディスプレイにサンプリングレートを表示させていますが、これを見てもそのことがお分かりいただけると思います。また他社のネットワークオーディオプレーヤーで、Amazon Music対応のものもありますが、それらと比較しても操作スピードが圧倒的に速いのも大きな特徴です。

――評価ボードとTaktinaの関係も、整理しておきたいのですが、Taktinaはあくまで“リモコン”であって、ここから音を流したりはしてないのですよね?

荒川：その通りです。ストリーミングのデータを受けて再生するまでの処理はすべてハードウェア側で行なっています。Taktinaはあくまでもその操作を行なうためのリモコンです。

荒川：Amazon Music、TIDAL、Qobuzに対応しており、アカウントはユーザー自身で用意する必要があります。ログインしてしまえば、あとは3つともほぼ同じ操作でお楽しみいただけます。iPadで扱う場合、右側がブラウジング画面で左側は再生中の曲のものとなっています。

――これまで出されていたDAC用のシステムの場合、顧客ごとにドライバを作っていたと思います。Taktinaも各社ごとに違った名称のものが登場する形ですか?

川瀬：現在のところ、各社ともTaktinaのままで問題ないとおっしゃっているので、当社のアプリをそのまま使っていただいています。ただ今後、「自社用にカスタマイズしたい」「名称を変更したい」といった要望があれば、それに対応することも検討しております。

――この評価ボードの構成について、教えてください。

川瀬：システムのブロック図を見ていただくと分かると思いますが、大きい基板であるベースボードは、あくまでもテスト用のものです。実際にはお客さま側で作っていただきます。アナログ回路を含め、色付けはすべてお客様側で決めて頂くものです。我々が提供するのはあくまでデジタル部分のみですね。

森：ベースボードの上に載っているのはイスラエルVariscite社のCPUボードです。NXPの「i.MX 8M Mini」というArmコアのCPUですね。ここにウチのファームウェアを乗せて販売しています。

――ファームウェア入りのCPUボードを組み込んで、プレーヤーを開発すれば、デジタル部分はすべてお任せで作ることができ、さらにTaktinaで操作ができる、というわけですね。DAC部分はどうなる形ですか?

森：ITF-NET AUDIOは、USBホストとして機能するシステムです。ネットワークトランスポートという形であれば、エンドユーザーさんがDACを用意して利用可能です。またネットワークプレーヤーという形であれば、各メーカーさんがDAC部分までを内部に組み込んだ上で、アナログのオーディオ出力を搭載する製品になる、というわけです。

――今後、ITF-NET AUDIOの機能拡張や機能強化などは計画されていますか?

森：そうですね。ハイレゾの、新しいストリーミングサービスが登場すれば、それに対応できるようにしていきたいです。またAmazon Musicは、かなり頻繁に仕様を変えてきているので、それに合わせてファームウェアのアップデートを行なっているのも事実です。

もともとAmazon MusicはAACでしたが、Amazon Music HDが出たタイミングでFLACができるようになりました。今はAmazon Music UnlimitedもハイレゾのFLACに対応していますが、その仕様もコロコロ変わっているため、変更に応じてアップデートしています。もちろん、単に追いかけるだけでなく、機能強化も図りつつ、より多くのメーカーさんに採用いただければ、と考えています。"
"「受信フォルダはメールを保存する場所ではない」生産性が急降下する""やってはいけない""メール対応3タイプ",経済,"大量のメールの処理に時間がかかり、肝心の仕事がままならない状況になってしまった時にはどうすればよいか。働き甲斐を発見し、成功へと近づく方法を、多くの人に示してきたライス大学経営学教授であるスコット氏は「メールと仕事とを混同してはいけません。メールは仕事をするためのツールの一つですが、仕事そのものではありません」という――。

【この記事の画像を見る】

　※本稿は、近藤麻理恵、スコット・ソネンシェイン『Joy at Work　片づけでときめく働き方を手に入れる』(河出書房新社)の一部を再編集したものです。

■メールに割く時間が多いほど仕事の生産性が低下する

　改めて言うまでもないでしょうが、メールについては、受信も送信も数が多すぎます。

　それなのに、これがどれほど重大な問題なのかは認識されていないようです。一般的なオフィスワーカーは、1日の就業時間の半分ほどをメール関連の作業にあてており、研究によれば、メールが仕事の妨げになると考えている人が、全体の半数以上にものぼるそうです。

　サーシャの例はまさにその典型でした。小規模なビジネスを営む人にはよくある話ですが、ブランディングコンサルタントの彼女も、顧客の要望にはつねに迅速に応えなければならないと思っていました。頻繁なメールチェックのせいで、睡眠時間さえ削り、肝心の仕事がままならない状況でした。「メールを読んで、整理するのにすごく時間を取られて、これではとうていやっていけません」と彼女は私に訴えました。

　ある研究によれば、メールに割く時間が多いほど、生産性が低下し、ストレス度は上昇します。それこそが自分の現状だと、サーシャは気づきました。そこで、顧客からのメールに対応する時間を設定した上で、それ以外の時間はメールを使わないと決めたのです。

　そして、メールでの「営業時間」を顧客らに知らせました。最初のうちは、サービスが悪くなったと彼らが腹を立てるのではないかと心配でした。ところが実際には、すべてがすっかり改善されたのです。サーシャは貴重な時間を使って仕事に集中し、顧客たちが彼女からもらうメールは、以前よりも数は少なくなりましたが、中身はずっと濃くなったのです。

■メールに対応する「営業時間」を決める

　メールを頻繁にチェックしたくなる気持ちはわかります。私もその一人ですから。なにか重要な情報を見逃してしまうのではないかと心配になりますし、仕事に責任を持つためにはつねに対応可能でなければ、と思ってしまいます。もし、頻繁にメールをチェックして返信したくなるようなら、あなたもメールの「営業時間」を決めて、邪魔が入らずに仕事ができる体制を整えてはいかがでしょうか。たとえ1日に30分だけでも、メールから離れればいいのです。"
そのルート“船”の方が早い！ ナビアプリついに旅客船100％対応 ナビタイムが日本初,経済,"ナビタイムジャパンは2022年12月15日（木）、「ナビタイム」をはじめとする同社のナビアプリなどで、全国のフェリー情報に日本で初めて100％対応したと発表しました。

【「船ルート」検索イメージ】

　国土交通省海事局の「旅客航路事業現況データ」をもとに、移動を目的とする、定時/常時運航かつ現在運航中の事業者273社に対応。これには、渡船や島どうしを結ぶ短距離船から、空港連絡船、観光向け旅客船、長距離フェリーまで含まれます。

　これにより、全国の船を利用したルート検索や時刻表、地図上での港の表示などが可能に。これまで経路表示できていなかった島へのルートや、遠回りせずに船を使った最適なルート案内ができるといいます。また目的地検索時に、地図上で島を指定したり、島の名称をフリーワード検索すると、島内にある港が関連検索されるということです。

　船は海上状況や冬季の日照時間など、気象や環境が運航に影響を与えることから、ダイヤが通年同じとは限らず、安定的なデータ更新に課題があったといいます。事業者のウェブサイトを日々確認し、できるだけリアルタイムな情報更新を行いデータに反映しているとのこと。

　ナビタイムは次のようにコメントを寄せています。

「ユーザーは、個別に事業者のサイトで時刻を調べることなくフェリーを利用するルートにリーチできるため、船での移動がさらに身近なものとなり、より多様な選択肢から移動手段を選ぶことができます。法人向けサービスにも対応することで、例えば、MaaS 領域で水路を活かした課題解決に取り組まれる事業者様への支援にもつながればと考えております」

　同社のサービスを通じ、フェリーの利用促進、島の地域活性化に貢献したいということです。"
テンセントクラウド、日本市場で3ケタの成長　メタバース・Web3を23年の重点戦略に,経済,"中国テクノロジー大手のテンセント（騰訊）のクラウド事業であるテンセントクラウドは12月15日、日本での年次イベント『Tencent Cloud Day』を開催した。同社の発表によると、2018年に日本市場に参入して以来、テンセントクラウドの日本事業は安定した成長を遂げており、売上高は再び年間3ケタの成長を達成したという。

テンセントクラウドは、オーディオとビデオ技術分野で20年以上のノウハウを蓄積してきており、エンターテイメント、ゲームなどの業界で極めて高い優位性を維持している。日本市場においてもゲーム実況プラットフォーム「Mildom（ミルダム）」、オンラインカラオケアプリ「Pokekara」、「Showroom」が運営するバーティカルシアターアプリ「smash.」、ライブ配信サービス「ふわっち（whowatch）」など多くの日系企業にサービスを提供している。

昨年より日本市場でメタバース構築に関する複数のソリューションを発表して以来、バーチャル空間プラットフォーム「XR CLOUD」を中心に展開する「monoAI technology」、メタバース型コミュニケーションプラットフォーム「MetaLife」、オンラインゲーム会社「NEXON（ネクソン）」、CG映像制作を手がけている理経など多くの顧客を抱えるようになった。たとえば、NEXONのスマートフォン向けメタバースNexon Townでは、テンセントクラウドのリアルタイムコミュニケーション（TRTC）を通じて、業界最先端の超高品質リアルタイムオーディオ・ビデオサービスを提供しており、NEXONのゲームユーザー同士がメタバースでスムーズにコミュニケーションが取れるようになり、より良いユーザー体験を実現した。

今後、さまざま業界で加速するデジタルトランスフォーメーション（DX）のニーズに継続して対応するとともに、Web3時代を迎えるにあたり、テンセントクラウドは2023年の事業戦略の重点として、日本企業のメタバース事業やWeb3へのシフト支援をさらに強化していくという。それに伴い、3Dバーチャル世界を簡単に開発・構築できる「バーチャルワールド開発用スイート（Virtual World Developer Suite）」とスマホ1台で全身の動きを感知しリアルタイムにレンダリング、アニメーションを生成するフルボディモーションキャプチャーソリューションといった新プロダクトも発表した。

（36Kr Japan編集部）"
