中国,名詞-固有名詞-地域-国,名詞,固有名詞,地域,国
で,助詞-格助詞-一般,助詞,格助詞,一般,
日本,名詞-固有名詞-地域-国,名詞,固有名詞,地域,国
アニメ,名詞-一般,名詞,一般,,
の,助詞-連体化,助詞,連体化,,
海賊版,名詞-一般,名詞,一般,,
が,助詞-格助詞-一般,助詞,格助詞,一般,
横行,名詞-サ変接続,名詞,サ変接続,,
する,動詞-自立,動詞,自立,,
よう,名詞-非自立-助動詞語幹,名詞,非自立,助動詞語幹,
に,助詞-格助詞-一般,助詞,格助詞,一般,
なっ,動詞-自立,動詞,自立,,
て,助詞-接続助詞,助詞,接続助詞,,
早,名詞-一般,名詞,一般,,
十,名詞-数,名詞,数,,
数,名詞-数,名詞,数,,
年,名詞-接尾-助数詞,名詞,接尾,助数詞,
。,記号-句点,記号,句点,,
やっと,副詞-一般,副詞,一般,,
摘発,名詞-サ変接続,名詞,サ変接続,,
第,接頭詞-数接続,接頭詞,数接続,,
一,名詞-数,名詞,数,,
号,名詞-接尾-一般,名詞,接尾,一般,
という,助詞-格助詞-連語,助詞,格助詞,連語,
中国当局,名詞-固有名詞-一般,名詞,固有名詞,一般,
の,助詞-連体化,助詞,連体化,,
腰,名詞-一般,名詞,一般,,
の,助詞-連体化,助詞,連体化,,
重さ,名詞-固有名詞-一般,名詞,固有名詞,一般,
に,助詞-格助詞-一般,助詞,格助詞,一般,
は,助詞-係助詞,助詞,係助詞,,
辟易,名詞-サ変接続,名詞,サ変接続,,
する,動詞-自立,動詞,自立,,
。,記号-句点,記号,句点,,
著作権,名詞-固有名詞-一般,名詞,固有名詞,一般,
や,助詞-並立助詞,助詞,並立助詞,,
コピー,名詞-サ変接続,名詞,サ変接続,,
版,名詞-接尾-一般,名詞,接尾,一般,
に対する,助詞-格助詞-連語,助詞,格助詞,連語,
中国,名詞-固有名詞-地域-国,名詞,固有名詞,地域,国
の,助詞-連体化,助詞,連体化,,
考え方,名詞-一般,名詞,一般,,
の,助詞-連体化,助詞,連体化,,
根本,名詞-一般,名詞,一般,,
は,助詞-係助詞,助詞,係助詞,,
「,記号-括弧開,記号,括弧開,,
盗ま,動詞-自立,動詞,自立,,
れる,動詞-接尾,動詞,接尾,,
方,名詞-非自立-一般,名詞,非自立,一般,
が,助詞-格助詞-一般,助詞,格助詞,一般,
悪い,形容詞-自立,形容詞,自立,,
」,記号-括弧閉,記号,括弧閉,,
で,助動詞,助動詞,,,
あり,助動詞,助動詞,,,
、,記号-読点,記号,読点,,
これ,名詞-代名詞-一般,名詞,代名詞,一般,
が,助詞-格助詞-一般,助詞,格助詞,一般,
改まら,動詞-自立,動詞,自立,,
ない,助動詞,助動詞,,,
と,助詞-接続助詞,助詞,接続助詞,,
、,記号-読点,記号,読点,,
いくら,副詞-一般,副詞,一般,,
経済大国,名詞-固有名詞-一般,名詞,固有名詞,一般,
に,助詞-格助詞-一般,助詞,格助詞,一般,
なろ,動詞-自立,動詞,自立,,
う,助動詞,助動詞,,,
とも,助詞-接続助詞,助詞,接続助詞,,
国際社会,名詞-固有名詞-一般,名詞,固有名詞,一般,
で,助詞-格助詞-一般,助詞,格助詞,一般,
の,助詞-連体化,助詞,連体化,,
リスペクト,名詞-固有名詞-一般,名詞,固有名詞,一般,
は,助詞-係助詞,助詞,係助詞,,
得,動詞-自立,動詞,自立,,
られ,動詞-接尾,動詞,接尾,,
ない,助動詞,助動詞,,,
。,記号-句点,記号,句点,,
せめて,副詞-一般,副詞,一般,,
、,記号-読点,記号,読点,,
こうした,連体詞,連体詞,,,
普及,名詞-サ変接続,名詞,サ変接続,,
し,動詞-自立,動詞,自立,,
た,助動詞,助動詞,,,
海賊版,名詞-一般,名詞,一般,,
が,助詞-格助詞-一般,助詞,格助詞,一般,
中国,名詞-固有名詞-地域-国,名詞,固有名詞,地域,国
人民,名詞-一般,名詞,一般,,
の,助詞-連体化,助詞,連体化,,
意識改革,名詞-固有名詞-一般,名詞,固有名詞,一般,
に,助詞-格助詞-一般,助詞,格助詞,一般,
繋がれ,動詞-自立,動詞,自立,,
ば,助詞-接続助詞,助詞,接続助詞,,
せめても,副詞-一般,副詞,一般,,
の,助詞-連体化,助詞,連体化,,
救い,名詞-一般,名詞,一般,,
という,助詞-格助詞-連語,助詞,格助詞,連語,
もの,名詞-非自立-一般,名詞,非自立,一般,
だ,助動詞,助動詞,,,
