title,category,text
黒田日銀総裁　「政府との共同声明、見直す必要あると考えていない」,経済,"日銀の黒田東彦総裁は20日の記者会見で、政府と日銀が2013年に発表した共同声明について「現時点で見直す必要があるとは考えていない」と述べた。2％の物価安定目標などを明示した共同声明を巡っては政府の一部に見直し論も出ていた。

　また、物価見通しについて輸入コストの高止まりなど物価上昇要因が来年度にかけて次第に剥落していくと指摘。「来年度全体としては、2％を下回る可能性が高いと今のところ見ている」と述べた。"
SMBC日興の取引一部停止　過怠金3億円、相場操縦で東証,経済,"東証は20日、SMBC日興証券の相場操縦事件を受け、同社に対して来年1月16～20日の5日間、自己勘定による有価証券売買を停止し、過怠金3億円を支払うよう命じる処分を発表した。

　
　業務改善報告書の提出も求めた。大阪取引所も同社を戒告処分とした。"
日銀、金利上昇を容認　緩和策修正、0.5％まで,経済,"日銀は20日の金融政策決定会合で大規模な金融緩和策の修正を決め、長期金利が0.5％程度まで上昇することを容認した。黒田東彦総裁は会合後に記者会見し「景気に全くマイナスにならない」と悪影響を否定した。修正後の大規模緩和策を粘り強く続け、物価と賃金がそろって上昇する経済の好循環を目指す考えを改めて表明した。

　長期金利の上限はこれまで0.25％程度としていた。黒田氏は、上限引き上げは市場機能の改善が狙いと説明し、大規模緩和からの「出口政策や出口戦略の一歩ではない」と強調。上限をさらに引き上げる可能性については「必要ないし、今のところ考えていない」と否定した。"
円、長期金利が急伸　株は大幅安、日銀政策修正で東京市場,経済,"日銀の金融緩和縮小決定を受け、東京市場では円相場と長期金利が急伸、株価が大幅下落するなど動揺が広がった。

　東京債券市場では、長期金利の指標となる新発10年物国債の流通利回りが一時0．460％に上昇した。2015年7月以来約7年半ぶりの水準。

　東京外国為替市場の円相場は一時1ドル＝132円台後半と、8月中旬以来約4カ月ぶりの水準に急騰。「サプライズの利上げ」（FX会社）との見方から、日米の金利差縮小を見込んだ円買い・ドル売りが強まった。午後3時現在は132円86～88銭と前日比2円97銭の大幅円高・ドル安。

　東京株式市場では円高を嫌気した売りが膨らみ、日経平均株価の下落幅は一時800円を超えた。自動車を含む輸出株や不動産株が大幅安となるなど幅広く売られた一方、利ざやや運用環境が改善するとの思惑から銀行株や保険株は上昇した。

　終値は前日比669円61銭安の2万6568円03銭と4営業日続落。約2カ月ぶりに2万7000円を割り込んだ。市場では「政策変更なしを予想していたため、反応が大きくなった」（大手証券）との声が聞かれた。"
米歳出法案、政府端末でのＴｉｋＴｏｋ禁止盛り込む,経済,"[ワシントン ２０日 ロイター] -     米議員らは２０日未明、連邦政府職員が政府所有の端末で中国系動画投稿アプリ「ＴｉｋＴｏｋ（ティックトック）」を利用することを禁じる案を重要歳出法案に盛り込んだ。

週内に採決が行われる見込みのオムニバス（包括的）歳出法案に盛り込まれた。

ロイターは先に、この禁止案が同法案に盛り込まれる見込みだと報じていた。"
ありえない「映え」撮れます 映画・CM・結婚写真 百貨店まるごと,経済,"大丸心斎橋店（大阪市）は20日、店内を映画やテレビCM、雑誌などの撮影場所として利用できる「ロケーションサービス」を始めた。開店前や閉店後の売り場やエスカレーターなど、通常では実現しえない「映えスポット」でのフォトウェディング撮影もできる。

【写真】大丸松坂屋百貨店で、「お菓子食べすぎ会社員」として活動する社員インフルエンサーの野崎瑞穂さん

　心斎橋店の旧本館は、米国出身の建築家ウィリアム・メレル・ヴォーリズによる大正モダンの名建築とされる。戦災や老朽化に伴い建て替え後も、昭和初期から残る重厚な外壁やアールデコ様式を復元したエレベーターホールなどは今も引き継がれている。さらに今回のサービスでは、普段は公開していない地上60メートルの屋上や避難通路でも撮影できる。

　ロケ料金は1時間あたりで映像が5万5千円、スチールが3万3千円。フォトウェディングは外部の専門業者と提携する。約10カ所で撮影した150～200枚の写真データ、衣装や着付け代も含めて基本料金は30万円前後という。（金子智彦）"
独11月生産者物価指数、前年比28.2％上昇　2カ月連続伸び縮小,経済,"[ベルリン ２０日 ロイター] - 独連邦統計庁が２０日公表した１１月の生産者物価指数（ＰＰＩ）は、エネルギー価格の下落により上昇幅が２カ月連続で縮小した。ドイツのインフレが緩和しつつある可能性が示された。

ＰＰＩは前年同月比２８．２％上昇した。１０月の上昇率は３４．５％。アナリストの予想は３０．６％上昇だった。

前月比では３．９％下落し、市場予想の２．５％を上回る下落となった。

エネルギー価格は前月比９．６％下落した。主に天然ガスと電気のコスト低下が要因だった。

コメルツ銀行の経済調査担当責任者、ラルフ・ソルベーン氏は「他のモノの上昇の勢いも鈍化しているように見える。消費者物価の基調的な上昇圧力もすぐに弱まるという希望がある」と述べた。一方で、インフレ率は中期的に２％を上回り続ける可能性が高いとした。"
トヨタ、FCV「ミライ」をマイナーチェンジ　コネクテッドサービスや運転支援機能を拡充,経済,"トヨタ自動車は19日、燃料電池車（FCV）の「ミライ」を一部改良して発売した。コネクテッドナビ対応のディスプレーオーディオを機能向上し、「車内Wi―Fi」を採用。高度運転支援技術「トヨタチームメイト」は、他車の死角領域になるべく入らないように走行する機能を追加した。

　下位グレードの「G」シリーズは、フロントガラスの機能向上などで従来型比6千円の値上げとなる。

　価格は710万6千円（消費税込み）から。"
はま寿司 2022-2023年末年始「豪華特撰 旨ねた祭り」開催、あわび・炙りとろ穴子・きんき・車えびなど勢ぞろい,経済,"回転寿司チェーン「はま寿司」は12月22日から、「年末年始 豪華特撰 旨ねた祭り」を開催する。全メニュー数量限定で、なくなり次第終了する。

【画像を見る】はま寿司「豪華特撰 旨ねた祭り」メニュー＆ゼンショーネットストア「はま寿司新春おせち」「すき家の福袋SMILE BOX 2023」「年末年始 豪華特撰 旨ねた祭り」は、“年末年始を晴れやかに彩る豪華なネタ”をそろえたフェア。主な提供メニューは以下の通り。
 
◆コリコリした食感が特徴の「あわび」(税込110円)
◆とろけるような口あたりの「炙りとろ穴子」(税込110円)
◆脂のりがよく高級魚の一つである「きんき」(税込165円)
◆最高級ブランド牛を使用した「仙台牛握り / いわて牛握り(地域によりどちらか提供)」(税込319円)
 
「うに軍艦」「車えび」「生本ずわいがに」「北海道産こぼれいくらつつみ」「地中海産大切り本鮪大とろ」「焼しゃぶ風牛とろ握り(おろし盛り)」「漬け真いか耳」などのメニューも提供する。なお、「はま寿司」や「すき家」「なか卯」「ココス」「ジョリーパスタ」などの外食チェーンを展開するゼンショーグループの通販サイト「ゼンショーネットストア」では、はま寿司「新春おせち」の予約販売を行っている。約2～3人前の「彩り二段重」(1万1780円)、「プレミアム二段重」(1万5480円)や、約3～4人前の「彩り三段重」(1万6480円)、「プレミアム三段重」(2万3780円)など(すべて税込価格)。
 
ゼンショーネットストアでは12月20日午前10時から、店舗に先行して、すき家の福袋「SMILE BOX 2023(スマイルボックス2023)」の予約販売も行っている(送料別途)。初回販売分の予約は締め切られているが、2023年1月4日以降に出荷する再販分の受付を開始している。"
新東名高速道路、全線開通は2027年度に見直し　神奈川県「高松トンネル」掘削工事が難航,経済,"中日本高速道路（NEXCO中日本）は、新東名高速道路の全線開通時期を2027年度に見直すと発表しました。

【画像】工事中の「高松トンネル」

　新東名高速道路は新秦野IC～新御殿場IC間（延長約25キロ）が最後の未開通区間として残っており、山北町と松田町をつなぐ高松トンネルでは、脆弱な地山や断層破砕帯が確認されていることから、有識者に意見を得ながら地質に適した工事を進めています。

　新秦野IC～新御殿場IC間の当初の開通予定は2023年度としていましたが、高松トンネルの工事の難航により行程精査が必要な状況となっていました。精査の結果、開通予定時期を2027年度に見直し、安全を最優先に工事の進捗を図りながら工程短縮に努め、早期の開通を目指す方針を示しました。工事区間では全線にわたって橋りょうやトンネルなどの道路本体工事に着手しており、技術的課題はあるとしつつも、着実に工事を進めています。

　新東名高速道路の海老名南JCT～御殿場JCT間は、2017年度以降、順次開通しており、海老名南JCT～新秦野IC間、新御殿場IC～御殿場JCT間は、2022年4月までに開通済みです。"
