文,出現順序,全体のコメント,ラベル
どれだけ鍛え上げた肉体でも、靭帯は鍛えられないから、休みなく投打を続けるのはやはり相当な負担なんでしょうね。,1,どれだけ鍛え上げた肉体でも、靭帯は鍛えられないから、休みなく投打を続けるのはやはり相当な負担なんでしょうね。まずは早い回復を祈っています。来年こそメジャー最多ホームラン更新して下さい！再来年は怪我に気をつけつつ、二刀流復活期待しています！,
まずは早い回復を祈っています。,2,どれだけ鍛え上げた肉体でも、靭帯は鍛えられないから、休みなく投打を続けるのはやはり相当な負担なんでしょうね。まずは早い回復を祈っています。来年こそメジャー最多ホームラン更新して下さい！再来年は怪我に気をつけつつ、二刀流復活期待しています！,
来年こそメジャー最多ホームラン更新して下さい！,3,どれだけ鍛え上げた肉体でも、靭帯は鍛えられないから、休みなく投打を続けるのはやはり相当な負担なんでしょうね。まずは早い回復を祈っています。来年こそメジャー最多ホームラン更新して下さい！再来年は怪我に気をつけつつ、二刀流復活期待しています！,
再来年は怪我に気をつけつつ、二刀流復活期待しています！,4,どれだけ鍛え上げた肉体でも、靭帯は鍛えられないから、休みなく投打を続けるのはやはり相当な負担なんでしょうね。まずは早い回復を祈っています。来年こそメジャー最多ホームラン更新して下さい！再来年は怪我に気をつけつつ、二刀流復活期待しています！,
高校生の時に書いた「野球人生の目標シート」にはピッチャーとしての目標しか無かったし、どちらかに専念せざるを得ないとしたらピッチャーと答えた事もある。,1,"高校生の時に書いた「野球人生の目標シート」にはピッチャーとしての目標しか無かったし、どちらかに専念せざるを得ないとしたらピッチャーと答えた事もある。
本人は自分を「ホームランが打てるピッチャー」だと思ってるんだろう。

ここ3年間フル回転でやってみて、ホームラン王獲得という望外の夢が実現しそうなので、次はピッチャーとしてのタイトル獲得とサイヤング賞に焦点を絞ってくると思う。

やはり登板前後は打者としても出場しないのがベストだと思うので、戦力に余裕のあるチームで優勝を目指すのが一番だろう。",
"
本人は自分を「ホームランが打てるピッチャー」だと思ってるんだろう。",2,"高校生の時に書いた「野球人生の目標シート」にはピッチャーとしての目標しか無かったし、どちらかに専念せざるを得ないとしたらピッチャーと答えた事もある。
本人は自分を「ホームランが打てるピッチャー」だと思ってるんだろう。

ここ3年間フル回転でやってみて、ホームラン王獲得という望外の夢が実現しそうなので、次はピッチャーとしてのタイトル獲得とサイヤング賞に焦点を絞ってくると思う。

やはり登板前後は打者としても出場しないのがベストだと思うので、戦力に余裕のあるチームで優勝を目指すのが一番だろう。",
"

ここ3年間フル回転でやってみて、ホームラン王獲得という望外の夢が実現しそうなので、次はピッチャーとしてのタイトル獲得とサイヤング賞に焦点を絞ってくると思う。",3,"高校生の時に書いた「野球人生の目標シート」にはピッチャーとしての目標しか無かったし、どちらかに専念せざるを得ないとしたらピッチャーと答えた事もある。
本人は自分を「ホームランが打てるピッチャー」だと思ってるんだろう。

ここ3年間フル回転でやってみて、ホームラン王獲得という望外の夢が実現しそうなので、次はピッチャーとしてのタイトル獲得とサイヤング賞に焦点を絞ってくると思う。

やはり登板前後は打者としても出場しないのがベストだと思うので、戦力に余裕のあるチームで優勝を目指すのが一番だろう。",
"

やはり登板前後は打者としても出場しないのがベストだと思うので、戦力に余裕のあるチームで優勝を目指すのが一番だろう。",4,"高校生の時に書いた「野球人生の目標シート」にはピッチャーとしての目標しか無かったし、どちらかに専念せざるを得ないとしたらピッチャーと答えた事もある。
本人は自分を「ホームランが打てるピッチャー」だと思ってるんだろう。

ここ3年間フル回転でやってみて、ホームラン王獲得という望外の夢が実現しそうなので、次はピッチャーとしてのタイトル獲得とサイヤング賞に焦点を絞ってくると思う。

やはり登板前後は打者としても出場しないのがベストだと思うので、戦力に余裕のあるチームで優勝を目指すのが一番だろう。",
大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。,1,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
"
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。",2,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
