文,出現順序,全体のコメント,ラベル
今の日本の運転免許証ってとても優秀なものだと思うんですけどね。,0,"今の日本の運転免許証ってとても優秀なものだと思うんですけどね。数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。一つダメになると他も使えなくなるので。",
数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。,1,"今の日本の運転免許証ってとても優秀なものだと思うんですけどね。数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。一つダメになると他も使えなくなるので。",
"

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。",2,"今の日本の運転免許証ってとても優秀なものだと思うんですけどね。数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。一つダメになると他も使えなくなるので。",
"
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。",3,"今の日本の運転免許証ってとても優秀なものだと思うんですけどね。数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。一つダメになると他も使えなくなるので。",
一つダメになると他も使えなくなるので。,4,"今の日本の運転免許証ってとても優秀なものだと思うんですけどね。数年に一度必ず本人出向いて更新するから身元確認にもなるし顔写真ついてるからすぐその場で本人確認できるし。

なんにせよあらゆることを一つだけに絞るとそれがダメになった時にどうしようもなくなるのでリスクが大きくなると思います。
昭和おっさんの記憶ですが、テレビとビデオをくっつけたものは結局すたれたし、ファミコンとディスクシステム？だったかな？、をくっつけてもダメでしたね。一つダメになると他も使えなくなるので。",
紛失時のリスクをマイナカードに集約してしまうと、再発行されるまで病院にも行けない、車にも乗れない、となりますね。,0,"紛失時のリスクをマイナカードに集約してしまうと、再発行されるまで病院にも行けない、車にも乗れない、となりますね。

役所が休みの土日や盆暮れだと、相当生活に影響が出そう。

資産の預け先を分散するのと同様、免許証や保険証はリスク分散の意味でも一本化は避けるべき。
管理する政策側のメリットしかなく、利用者側のリスクが大きすぎです。",
"

役所が休みの土日や盆暮れだと、相当生活に影響が出そう。",1,"紛失時のリスクをマイナカードに集約してしまうと、再発行されるまで病院にも行けない、車にも乗れない、となりますね。

役所が休みの土日や盆暮れだと、相当生活に影響が出そう。

資産の預け先を分散するのと同様、免許証や保険証はリスク分散の意味でも一本化は避けるべき。
管理する政策側のメリットしかなく、利用者側のリスクが大きすぎです。",
"

資産の預け先を分散するのと同様、免許証や保険証はリスク分散の意味でも一本化は避けるべき。",2,"紛失時のリスクをマイナカードに集約してしまうと、再発行されるまで病院にも行けない、車にも乗れない、となりますね。

役所が休みの土日や盆暮れだと、相当生活に影響が出そう。

資産の預け先を分散するのと同様、免許証や保険証はリスク分散の意味でも一本化は避けるべき。
管理する政策側のメリットしかなく、利用者側のリスクが大きすぎです。",
"
管理する政策側のメリットしかなく、利用者側のリスクが大きすぎです。",3,"紛失時のリスクをマイナカードに集約してしまうと、再発行されるまで病院にも行けない、車にも乗れない、となりますね。

役所が休みの土日や盆暮れだと、相当生活に影響が出そう。

資産の預け先を分散するのと同様、免許証や保険証はリスク分散の意味でも一本化は避けるべき。
管理する政策側のメリットしかなく、利用者側のリスクが大きすぎです。",
運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。,0,"運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",
"

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。",1,"運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",
"

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",2,"運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",
