,comment,label
8,その 上 で 発言 しろ よ (＃｀ 皿 ´) ,1.0
11,3 億 の 損害 賠償 貰っ た として ,1.0
12,あなた の 親 なり 家族 、 または 大事 な 人 が その よう な こと を 言わ れ て 怒ら ない の です か ？ ,1.0
13,感染 者 数 も 徐々に 増加 傾向 し てる し ... ,1.0
14,こんな こと を やる 放送 局 に 、 受信 料 払い たく ない 。 ,1.0
16,新た な 刺激 や 出会い が 少なく なっ て き てる から 好き な こと や 気 に なる こと の コミュニティ に は 積極 的 に 入る よう に し たい です 。 ,1.0
18,彼 は 分かっ て 言っ てる ん だろ う けど 、 何と 幼稚 な 意見 な の か 。 ,1.0
19,自民党 は 外交 能力 が 皆無 の 穀潰し ばかり 揃え てる から 、 戦争 だ なんて 愚か な 発想 しか 思いつか ない ん でしょ う 。 ,1.0
20,実際 に キャリア 形成 上 の 差別 事例 は 身近 でも 聞い た こと が ある し 、 医学部 入試 点数 問題 とか も 典型 的 だ な 。 ,1.0
22,それ だけ 。 ,1.0
23,絵柄 修正 なんて し て ない よ 。 ,1.0
24,ひで ー 事 言っ て ます な 呆れ た … ,1.0
25,叩き 合う しか 無い ん やろ なっ て 。 ,1.0
27,なん や こいつ 自己 責任 やろ w ,1.0
28,牛乳 大好き 酪農 家 は 生き てる 牛 を 相手 に 休み なし に 頑張っ てる よ 。 ,1.0
32,日本 は 苦しい と 言い たい です ,1.0
33,回転 寿司 に ラーメン が ある のに 何故 この 寿司 屋 に は ない の だ ！ ？ と 言っ て くる から 呆れ て しまう ,1.0
35,オミクロン だ ー って ギャーギャー 騒ぎ立て てる の は TV や 新聞 の 中 だけ っす よ ？ ,1.0
36,わざと 名前 を 言い換え て 、 印象 操作 し て いる の は 事実 。 ,1.0
37,何 を 今更 言っ てる の ？ ,1.0
41,こんな の を 支持 する 奴 の 気 が 知れ ない 。 ,1.0
44,違反 者 は どう なる ん です か ？ ,1.0
46,影響 受け た と として 、 実行 する の は 個人 の 責任 で しか ない よ ？ ,1.0
48,決め られ た 金額 で 遊べ ば 問題 ない 。 ,1.0
49,歴史 に 学ば ない 人々 が 圧倒的 多数 な の が 、 始末 に 負え ませ ん 。 ,1.0
51,政治 に関して は 楽 な 選択 し てる かも ,1.0
53,男 を そういう 見方 しか し て ない と 。 ,1.0
54,太田 は 頭 が 悪い くせ に 、 知ったかぶり 、 あんな ん で 芸人 なんて 、 干さ れ なきゃ わから ない の よ 。 ,1.0
55,操り 人形 … もしくは 、 頭 に 蝕ん でる 癌 細胞 を 取り除か ない と ね 。 ,1.0
56,気 を つけ ましょ う 。 ,1.0
61,コイツ の 養分 に なる だけ です よ ,1.0
63,自己 愛 者 、 国 の 問題 で は ない 。 ,1.0
64,フェミニスト の 横暴 に は 抵抗 し なきゃ 滅ぼさ れる だけ な のに な 。 ,1.0
68,暮らし にくい 日本 に どんどん なっ て いる ん です 。 ,1.0
72,そして 起き た 事 が 新型 コロナ 対策 に 現れ てる 。 ,1.0
74,あくまでも 政府 関係 者 等 が 言っ てる 時点 で まだ 決まり で は 無い 岸田 総理 自ら 口 で 発言 し た の なら 事実 及び   速報 が 出る はず ,1.0
78,あんた 社会 主義 者 だろ 。 ,1.0
