,comment,label
0,逆 に その 事 の アンテナ が ビビっ て 動い て 聞い たり 見 たり で ・ ・ ・ 。 ,1.0
1,東 国原 と 橋本 で 芸人 でも し たら ？ ,0.0
2,だって 、 サブカル の ドラえもん も ロボット アニメ も 、 韓国 発 だって 理解 し て い た 国 な ん だ から ,1.0
3,表現 の 変更 は 、 尊重 に ある程度 つながる と 思う 。 ,1.0
4,そういう 場 で 自分 の 主張 を 押し通す こと こそ が あなた の 最大 の 存在 意義 じゃ ない の ？ ,0.0
5,そんな わけ 無い だろ 笑 ,0.0
6,反日 し て も 投獄 さ れる し 妹 さん どう する ん やろ か ,1.0
7,意見 を 表明 する こと は 全く 自由 です 。 ,1.0
8,こども 食堂 が 増え てる 日本 、 国 は 何 を やっ て いる の か 。 ,1.0
9,続けれ ば 何 か が 見え て 来る という の は 、 ホント 実感 し ます 。 ,1.0
10,うーん 一見 いい こと 言っ てる よう で 政治 へ の 要望 が コロナ 脳 。 ,0.0
11,データー なし で ,1.0
12,勝手 に 日本人 て 言葉 を 出さ ない で 下さい 。 ,0.0
13,何故 母親 の 姓 を 名乗っ てる か って 、 天皇 気取り し たかっ た から です よ ね 、 おそらく 。 ,1.0
14,いちいち さんま の テレビ 見る の に 洗脳 ガー とか 言っ てる やつ # マイキー 大喜 利 ,0.0
15,本当に ソレ な ! です ね ,1.0
16,安倍 が そんなに いい です か ね 。 ,1.0
17,言っ てる こと が 尽く 論点 ズレ て ます よ 。 ,0.0
18,ギャンブル youtubernote など で 予想 を 売っ てる 人 が 言う 全て は 自己 責任 な ん でしょ ？ ,1.0
19,正社員 に なっ て １つ の 企業 で だけ 仕事 を する の は とても 危険 だ と 思い ます 。 ,1.0
20,あなた は 負け 組 です ,0.0
21,過去 は もっと いる って 聞い た な 。 ,1.0
22,馬鹿 な 大将 は 敵 より 怖い と 言い ます から ね ? なら 馬鹿 な 国民 は 中国 より 怖い という 事 に なる の か な ？ ,1.0
23,恐怖 心 煽り 社会 を 混乱 さ せ てる 。 ,0.0
24,そもそも 九 割 って ほんと ？ ,1.0
25,どうか ご 自分 を 責め ない で ください ,1.0
26,遊び 相手 に なっ て くれる の は 安倍 総理 だけ 。 ,1.0
27,野党 か メディア の いずれ か が まとも で あっ たら 、 あんな 馬鹿騒ぎ に なる はず が なかっ た の です 。 ,1.0
28,だから ？ ,0.0
29,謝罪 文 とか 絶対 に 何 が あっ て も 書い ちゃ だめ な やつ じゃん … … … ,1.0
30,この 人 、 注目 さ れ たい かまっ て ちゃん な のに 、 文化 的 教養 が 低 すぎ て 哀れ 。 ,0.0
31,事 勿 れ 外交 を 繰り返し 国益 を 損ない 続け た 人物 が どの 口 で ？ ,0.0
32,何 を 仰り たい の か 、 よく わかり ませ ん 。 ,0.0
33,何 回 同じ よう な 事 言っ てる ん です か ,0.0
34,日本 から 出 て いっ て 下さい 。 ,0.0
35,他人 と 比べ て も 何 に も なら ない やっぱ ジジイ の クセ に ガキ な ん だ な w ,0.0
36,議論 を する 上 で 大事 な 事 は デマ や 事実 の 基づか ない 物 、 エビデンス が 十分 で ない 物 、 など を 省き ながら 質 の 高い 、 また 、 広い 視野 で の 議論 が 尽くさ れる と より 良い 方向 に 向かう と 思い ます 。 ,0.0
37,口論 し て たら 突然 吐く 人 も 怖い 。 ,0.0
38,そういう 所 が ダメ な ん だ ぞ ネトウヨ 。 ,0.0
39,歴史 に 学ば ない 人々 が 圧倒的 多数 な の が 、 始末 に 負え ませ ん 。 ,1.0
40,自公 維 と その 支持 者 達 だけ 無人島 で 大日本帝国 ごっこ やっ てろ って 話 。 ,1.0
41,「 広告 の 標準 化 を 」 という 意見 が あっ て おぞまし すぎる 。 ,1.0
42,魅力 が ある と すれ ば 文化 遺産 と 料理 と 三国志 だ な ,1.0
43,よろしく お願い し ます ！ ,1.0
44,根拠 ない 邪推 で ワロタ ｗ ,0.0
45,# きっ こ 左翼 の 言葉 の 汚 さ 。 ,0.0
46,立憲 共産 れ 党 支持 者 は こんな 下 ネタ 嫌悪 感 しか ない ,0.0
47,投資 会 の シ バター みたい で 嫌い です 。 ,0.0
48,あなた の アジテーター 活動 の コストパフォーマンス は かなり 低 そう 。 ,0.0
49,何 か 上手く いか ない 理由 を 見つけ たい の だ と 思い ます 。 ,1.0
50,日本 は 日本 で 生き残る 術 を 模索 し た ほう が いい 。 ,1.0
51,字幕 と アナウンス だけ で 、 えっ ？ ,1.0
52,刑務所 行き から の クビ 離婚 から の 家族 離散 上級 国民 は ええ なぁ ,1.0
53,ネトウヨ 。 ,0.0
54,消費 税 廃止 し て も 良い よ ね ！ ,1.0
55,どんどん バカ に なっ て く な … ,0.0
56,バカ じゃ ねぇ の 。 ,0.0
57,元々 増やす 計画 の ため に 無料 PCR でしょ ？( 笑 ) ,1.0
58,その 人 の 体 と その 人 の 人生 な ので 。 ,1.0
59,この 人 、 綺麗事 だけ で 生き て いる ゾンビ だ 。 ,0.0
60,ギャンブル の 為 の 口座 や アプリ を 勧める 人 が 言える 発言 で は あり ませ ん よ ,0.0
61,罰 を 与えろ ！ ,1.0
62,今年 も もっと 幸せ に なる ため に 日々 の 感謝 を 忘れ ず 、 チャレンジ し 続け 、 他者 の 役に立つ よう Give し 続け ます ！ ,1.0
63,核保有 国 に 侵略 戦争 を 仕掛ける と 思っ て いる 時点 で 論外 です ね 。 ,0.0
64,都合 よく カウント する 方向 に 基準 も コロコロ 変わっ て ます 。 ,1.0
65,負ける から 。 ,0.0
