,comment_sentence,label
607,んー、これを言い出すと、Amazonで星１つのレビューしている人は全員訴えられるんちゃう？,0.0
620,負けるから。,0.0
755,それも言い過ぎだろう。,0.0
783,えー無知は、どちら？,0.0
958,バカなのか？,0.0
1009,そうじゃ、そうじゃなっい,0.0
1035,ネトウヨ究めてんなー,0.0
1036,違う違う。,0.0
1039,本当生産性のない奴らw,0.0
1056,見ている範囲が狭すぎるんじゃないですか？,0.0
1290,哀れだな。,0.0
1291,あんたが「存在するだけで嫌われ警戒される」,0.0
1292,未婚男性なのは、99.9%あんたに原因があると思うよ,0.0
1304,まぁ女叩きしてる時点でもてねえわな,0.0
1310,なんか、哀れだな。,0.0
1311,脳みそがゲシュタルト崩壊！,0.0
1314,贅沢だとしても何が悪いの？,0.0
1317,嫌われてるのはあんたらインセルやキモモタだけ。,0.0
1557,本当に高校生当事者からの切実な声なの…？,0.0
1767,ただネタとして見る分には面白いです,0.0
1782,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
2041,これは司法試験の答案でこう書いても本当に合格できるのだろか？,0.0
2054,渡辺弁護士の鼻がスケベっぽくてエロいから隠しとけとか言われたら反発するだろ？,0.0
2313,池戸万作が勝手にそう思ってるだけ,0.0
2318,病気じゃない？,0.0
2319,イヤなら自分の国に帰ればいいのに。,0.0
2320,大丈夫？,0.0
2321,フェミニズムをおかしな宗教みたいにした連中のうちの一人が何言ってんだろう？,0.0
2323,君みたいなのしか居ないからだよ,0.0
2325,日本から出ていって下さい。,0.0
2326,モラルがねぇからたたかれてんだろ？,0.0
2327,フェミニストと大きく言うなら常識ない人=フェミニストってイメージがどんどん浸透するよ？,0.0
2329,こういうコントは面白いんだけどな時々ライン越えの発言するからな,0.0
2330,じゃあ日本からでてけば？,0.0
2331,このクズ,0.0
2332,そのまま体ごと張り裂けてしまえ,0.0
2334,そりゃ奇声上げながら斧振り回してるのが見えてたら通報されるわ常識考えろ常識を,0.0
2337,口論してたら突然吐く人も怖い。,0.0
2345,張り裂けとけよ。,0.0
2346,長えんだよ妄想が。,0.0
2375,『戦いになると抵抗出来ず『差別主義者！』と叫んで逃げるしか脳のない女性』を体現してるだけやないの。,0.0
2400,そういう場で自分の主張を押し通すことこそがあなたの最大の存在意義じゃないの？,0.0
2417,人として筋を通すことから始めた方がいいと思う。,0.0
2449,馬鹿ばっかです。,0.0
2652,だから説得力も皆無。,0.0
2655,具体的にどういった問題が起こるのか提示も出来ないなら、お前も幼稚であることに変わりがないのだから、自分で言っていることを体現しているとしか言えないと思うんだが…。,0.0
2666,このプロフィールから滲み出る頭の悪さよ,0.0
2675,ちょっと意味不明すぎて話が見えませんね。,0.0
2677,君はそろそろおたくから卒業したほうがいいんじゃないか？,0.0
2680,被害者面すんなよ,0.0
3493,ちょっと何言ってんのかわかんない。,0.0
4476,いちいちさんまのテレビ見るのに洗脳ガーとか言ってるやつ#マイキー大喜利,0.0
4478,　何を今更?,0.0
4752,本気で言ってるのでしょうか。,0.0
4760,ブースターで何人殺す気なのか・・・確か2月にロックダウン予定でしたね？,0.0
4761,あなたは犯罪者です！,0.0
4763,東国原と橋本で芸人でもしたら？,0.0
4777,アホくさ,0.0
4779,何言っちゃってるんすか？,0.0
5120,というかこの議論に学歴うんぬん関係ありますか？,0.0
5209,ただの学歴コンプレックスっぽいw,0.0
5586,言ってることが尽く論点ズレてますよ。,0.0
5587,叩かれれば叩かれるほどに自分は正しいと思い込む人がかなり多いと聞くのですが、あなたもその一人ですか？,0.0
5588,誤魔化さないよう。,0.0
5813,そんなこともわからんのか。,0.0
6785,それをただ単に右左で語ってしまう議論が稚拙だなと思います。,0.0
7481,この人、綺麗事だけで生きているゾンビだ。,0.0
7492,その実例を挙げて説明されたい。,0.0
7493,意味不明、、、草,0.0
7620,こんなところでも歴史改竄運動…,0.0
7895,公文書改竄を推奨しろって事脳ミソ沸騰しとる,0.0
9846,学歴じゃないと言うなら、大学名なんか出す必要なくないですか？,0.0
9860,本を読んだから賢い！なんて考え方が子供過ぎる（笑）,0.0
9963,ピンボケな見解だな。,0.0
14849,弱々しいから虚勢を張っているのか。,0.0
14946,何もできずに日本を沈没直前まで追い込んだ左翼民主党政権を信奉するような連中が何を言っても説得力は皆無。,0.0
15232,なんかさ、君は金銭欲や自己顕示欲が強すぎて周りの人間やサラブレッドに対しての愛が感じられないんだよね。,0.0
15234,全く触れずにこんな糞みたいな煽りツイートか,0.0
15235,捏造動画作って収益あげる奴が言うのはおかしいのでは(笑),0.0
15292,あなたの意志が弱いだけです。,0.0
15293,ストマックさんは、下手すぎます,0.0
15294,何回同じような事言ってるんですか,0.0
15340,何他人事みたいに言ってるんや！,0.0
15341,何もしなかったあなたのせいでしょうが！,0.0
16113,それと同じなんに自分らの趣味の話になると認識バグるのな。,0.0
16114,クソオス,0.0
16239,正直一つ前のツイートの一行目からギョッとしたけど、まぁ男なんてこんなもんだよな。,0.0
16241,あなたみたいな男ばっかりだから娘さんはこれから辛い思いをするでしょうね。,0.0
16254,ほーら始まった、何にもわかってないくせにわかったフリするようなやつ。,0.0
16255,あんたみたいなのがいるから「娘」という属性は一生辛いまんまなんだよ。,0.0
16387,非常に多くの日本人は望んでおりません間違い忖度はしないで下さい。,0.0
16389,日本語わかりますか？,0.0
16391,勝手に日本人て言葉を出さないで下さい。,0.0
16392,エビデンス出して下さい。,0.0
16394,生まれてこの方そんな話は聞いたことはないが,0.0
16414,具体的根拠を示せよ！,0.0
16416,多くの日本人が望んでいるなら実現しているはずなので、ソースも無しにウソは言わないでください。,0.0
16418,アンケートとったの？,0.0
16419,嘘ばっかり,0.0
16441,は？,0.0
16442,ちゃんと裏付けとりましょね,0.0
16443,ウソつくなや,0.0
16444,寝言は寝てry,0.0
16556,中身が全くないな笑笑笑笑,0.0
17144,生活環境まで政府にケツ持たせるとか言ってて恥ずかしく無いのか？,0.0
17147,まだアホなこと言ってる,0.0
17331,印象かよ=^.^=,0.0
17344,偏見。,0.0
17345,そのように印象操作して一部の金目教の人間が得する社会は間違っています。,0.0
17516,あ、松丸ディスりか？,0.0
17794,ゴ〇,0.0
17797,それ自分にも刺さらない？,0.0
17798,大丈夫？,0.0
17800,自己紹介か？,0.0
17810,だとしたら貴方には人として大事なものが欠けてますね。,0.0
18255,仮に被害者だとしてもジャーナリストがそんな不祥事見逃してたって無能にも程がある,0.0
18256,いや、そんな程度の話じゃないよね。,0.0
18284,倒閣に加担してたんだろ。,0.0
18443,読めても理解できない。,0.0
18576,人は信じたい事しか信じない、の典型ですね…。,0.0
18577,脳が凝り固まってる。,0.0
18725,日本語おかしくないかい？,0.0
18736,オマケにデマ流すな？,0.0
18738,それとも、もしかして、貴方、日本語が母国語ではない外国の方ですか？,0.0
18754,社会を掻き回すのやめてほしいわ,0.0
19080,かわいそうな人達です。,0.0
