,comment,label
0,子供 は 国 の 宝 です ,1.0
1,自分 も そう 思い ます 。 ,1.0
2,恐怖 心 煽り 社会 を 混乱 さ せ てる 。 ,0.0
3,正直 一つ 前 の ツイート の 一行 目 から ギョッ と し た けど 、 まぁ 男 なんて こんな もん だ よ な 。 ,0.0
4,いやいや 、 いつも 主語 が デカ い の は あん たら クソフェミ だ から ,0.0
5,当たら ない から 文句 言っ てる だけ です よ ね ？ ,0.0
6,日本 国内 て 日本人 ヘイター とか 成立 し ない のに 。 ,1.0
7,矛盾 が 多 すぎ で 拾い きれ ない です ね ！ ！ ,0.0
8,規制 かけ て ある 諸 外国 等 で 成功 し た 例 くらい 持っ て き て もらえ ん か な ？ ,1.0
9,酔っ払っ てる の か ？ ,0.0
10,正しい 行動 が あっ て こそ 結果 も 出せ ます ね ,1.0
11,は ？ ,1.0
12,その 固い 頭 を 柔らかく し た 方 が 生産 的 ,0.0
13,おそらく 、 逃げ まくる でしょ う 。 ,1.0
14,金 が ない 人 は レイプ する でしょ う ね ？ ,1.0
15,謝罪 文 とか 絶対 に 何 が あっ て も 書い ちゃ だめ な やつ じゃん … … … ,1.0
16,大丈夫 ？ ,0.0
17,この 人 、 注目 さ れ たい かまっ て ちゃん な のに 、 文化 的 教養 が 低 すぎ て 哀れ 。 ,0.0
18,薬害 の 歴史 … 10 年 後 とか 20 年 後 に 認める の でしょ う ね 、 今 まで 通り 拾い物 置か せ て 頂き ます お 邪魔 き まし た ,1.0
19,借金 いくら ある の ？ ねぇ ,0.0
20,ねえ 、 もう少し 勉強 し て から 、 考え て から ツイート し ない ？ ,0.0
21,成長 でき ない の も 、 高 税率 も 、 すべて 多 すぎる 高齢 者 むけ 社会 保障 に 起因 し て い ます 。 ,1.0
22,何 の 事 は ない ,1.0
23,( 続 ) ,1.0
24,自分 で 動い た 人 のみ 正しい 情報 を 手 に 入れ て 生き残る 時代 です ね 。 ,1.0
25,いちゃもん つける ネタ が ついに 大相撲 に まで 及ん で き まし た ね 、 そんなに あなた の 周り の こと が あなた の 思い 通り に なる 事 は ありえ ない ん です よ 。 ,0.0
26,むし 守備 側 は てめえ の テリトリー で 手一杯 な ん だ 、 お前 ら が 余計 な 飛び火 する やり方 ばかり し てる から 仕方 なく 病巣 ごと 叩き 潰す 戦略 に 移っ てる だけ で な ,0.0
27,具体 的 に どこ が 保守 的 で どこ が 外国 人 に 厳しい の です か ？ ,1.0
28,そんな 中 で 、 方法 論 が 優れ て いる から 自民党 が 優れ てる とか 、 何 の 冗談 だ よ 。 ,0.0
29,アホ くさ ,0.0
30,この プロフィール から 滲み 出る 頭 の 悪 さ よ ,0.0
31,そう 言え ば 、 Amazon   music から ロシア の 作曲 家 の 曲 が 減らさ れ て いる って 聞い て いる の です が 、 Amazon 独自 でしょ う ね 。 ,1.0
32,一 歩 、 離れ て 鳥瞰 、 俯瞰 し て み たら ？ ,1.0
33,本当に テレビ は 害悪 。 ,1.0
34,＞ 変わら ん くらい 根拠 ねぇ なんか そういう データ ある ん です か ？ ,0.0
35,あんた ら が やっ てる こと は 営業 妨害 、 経済 活動 の 邪魔 。 ,0.0
36,警鐘 を 鳴らし 、 踏みとどまら せよ う と する 医師 は ほんの 僅か だっ た 。 ,1.0
37,議論 を する 上 で 大事 な 事 は デマ や 事実 の 基づか ない 物 、 エビデンス が 十分 で ない 物 、 など を 省き ながら 質 の 高い 、 また 、 広い 視野 で の 議論 が 尽くさ れる と より 良い 方向 に 向かう と 思い ます 。 ,0.0
38,何 他 人事 みたい に 言っ てる ん や ！ ,0.0
39,ん ～？ ,1.0
40,お前 ら が 規制 しよ う と 躍起 に なる から そう なる ん だ よ ,0.0
41,施設 に 限っ た 話 で は ない な 。 ,1.0
42,何 を 言っ て ん だ ？ ,0.0
43,これ な ん だ よ な 。 ,1.0
44,2 行 目 で すでに 意味 が わから ない 。 ,0.0
45,残念 だ けど その 記事 は 死ぬ ほど いい 加減 で 嘘っぱち 何 が 言い たい の か さっぱり 分から ない ,0.0
46,先輩 (？) ,1.0
47,魅力 が ある と すれ ば 文化 遺産 と 料理 と 三国志 だ な ,1.0
48,どうか そういう 暴走 は お 止め ください 。 ,1.0
49,根拠 ない 邪推 で ワロタ ｗ ,0.0
50,公共 の 場 で 他人 を 非難 し て おい て 、 自分 達 の 発言 に さえ 向き合え ない 、 責任 さえ 反故 に する よう な 左翼 勢力 と は そんな 馬鹿げ た 連中 の 集まり な の か 話 に なら ん ,0.0
51,が おさん ,1.0
52,スト マック さん は 、 下手 すぎ ます ,0.0
53,いっつも 内容 が 不確か 。 。 。 ,0.0
54,15 年 くらい 認識 が 遅れ てる 。 ,0.0
55,関 関 同 立 レベル で ５ 割 ～ ６ 割 は 「 推薦 」 で 入学 し て いる 。 ,1.0
56,張り裂け とけ よ 。 ,0.0
57,全体 主義 思考 の 異 邦人 に 言わ れ たく ない 。 ,0.0
58,保守 的 ？ ,1.0
59,日本 は そう 行っ た 状況 で 余裕 が ある 国民 が い ませ ん 。 ,1.0
60,橋本 さん の 意見 に は 賛同 する こと が 多い が 、 これ に関して は 賛同 でき ませ ん 。 ,1.0
61,おお … まるで レイシ スト だ な 。 ,0.0
62,望ま ない 日本人 の 方 が 多い こと は 明らか です 。 ,1.0
63,どの へん が ？ ,0.0
64,個人 的 な アレ だ けど 、 某国 の 麻薬 カルテル が 猟奇 的 な 犯罪 を 行っ て いる の と 、 古代 に マヤ 文明 が 行っ て い た 儀式 って 、 性格 の 問題 で 関係 は ある ん じゃ ない か な ？ って 思っ てる 。 ,1.0
65,文明 人 として の スタートライン に 立っ て から 発言 し て ほしい もの です が 、 この よう に 非 人道的 に なっ て しまう の も 完全 なる 自己 責任 と は 言え ませ ん 。 ,0.0
66,そう 思う 時 有る よ 。 ,1.0
67,少なくとも 検証 は す べき です よ ね 。 ,1.0
68,てか 子供 が 可哀想 です 。 ,1.0
69,日本語 の 勉強 から し 直し て おい で ,0.0
