Column1,comment,label
1,張り裂け とけ よ 。 ,0
2,中身 が 全く ない な 笑 笑 笑 笑 ,0
3,決めつけ は 良く ない 。 ,0
4,また ネトウヨ が 騒い でる 笑 笑 ,0
9,何 を 言っ てる の か 分から ない 。 ,0
11,嘘 つく の は やめ ましょ う 。 ,0
12,なに か 、 もん だい でも ？ ,0
14,あなた が 偏見 に まみれ て いる の は よく わかる 。 ,0
15,「 いつも の 様 に 難癖 付け たら 強烈 に 反撃 さ れ て 旗色 悪く なっ た し 、 活動 アピール する という 最低限 の 成果 は 得 た から 撤退 し まし た 」 って の を 活動 家 用語 に 直す と そういう 発言 に なる ん です ね 、 よく わかり ます 。 ,0
16,妄想 に 浸っ とれ や バカタレ w    お前 の ツイート に は 度々 書か せ て もらっ てる が 赤旗 ( 便所 紙 ) 配達員 や 共産党 病院 の 職員 の 給与 上げ たれ や 。 ,0
21,そういう 場 で 自分 の 主張 を 押し通す こと こそ が あなた の 最大 の 存在 意義 じゃ ない の ？ ,0
22,まさに お前 じゃん 　 乞食 ジジイ ,0
23,俺 たち 日本人 の 恥 で ある この よう な ネトウヨ が いる から 、 ヘイトスピーチ 厳罰 化 が 必要 な ん だ よ な 。 ,0
24,あなた の 意志 が 弱い だけ です 。 ,0
27,印象 か よ =^.^= ,0
29,不審 すぎる し 薬 やっ て ん の かって 思う よ ね 。 ,0
32,叩か れれ ば 叩か れる ほど に 自分 は 正しい と 思い込む 人 が かなり 多い と 聞く の です が 、 あなた も その 一 人 です か ？ ,0
40,その 固い 頭 を 柔らかく し た 方 が 生産 的 ,0
41,アホ く さ 。 ,0
42,データ を 出し て 反論 出来る の か な ？ ,0
43,そんな 中 で 、 方法 論 が 優れ て いる から 自民党 が 優れ てる とか 、 何 の 冗談 だ よ 。 ,0
44,哀れ だ な 。 ,0
46,その 条件 も 言葉 の 定義 も 曖昧 で コロコロ 変わる から 貴方 たち は 嫌わ れる ん です よ 。 ,0
47,イラチ の おば ちゃん ,0
48,どんどん バカ に なっ て く な … ,0
49,何 他 人事 みたい に 言っ てる ん や ！ ,0
50,お前 ら が 規制 しよ う と 躍起 に なる から そう なる ん だ よ ,0
51,当たら ない から 文句 言っ てる だけ です よ ね ？ ,0
52,まだ 牢獄 に い ない の が 不思議 な くらい だ 。 ,0
