Column1,comment,label
0,フェミニスト と 大きく 言う なら 常識 ない 人 = フェミニスト って イメージ が どんどん 浸透 する よ ？ ,0
1,なん だ と 言っ てる 気 が する 。 ,1
2,控えめ に 言っ て キチガイ ,1
3,よく 考え て よ 。 ,0
4,ピン ボケ な 見解 だ な 。 ,0
5,頭 の ネジ 飛ん だ の か ？ ,0
6,人生 を 勝ち負け と 言っ てる 時点 で 薄っぺら な ん だ よ ,1
7,海外 に 永住 し て 、 そこで 永眠 し て 下さい 。 ,0
8,そこ から 600 年 以上 経ち ます が 、 彼ら は どこ で 間違え て しまっ た の か 。 ,1
9,ある 界隈 の 人 たち って 、 「 本当に 」 だの 「 真 の 」 だ の が 大好き な の です ね … ,0
10,思い込ま せ たら 儲け 物 共感 から 伝播 さ せ たら 其処 から 拡がる から その 分 、 懐 が 暖まる 訳 だ 尚 現実 。 ,1
11,でも 、 その 矛盾 を 指摘 さ れ て 「 自分 は 今 まで 頑張っ て き た のに ひどい ！ 」 と 被害 者 ぶる の は さすが に 頂け ませ ん ね 。 ,1
12,学歴 じゃ ない と 言う なら 、 大 学名 なんか 出す 必要 なく ない です か ？ ,0
13,改憲 誘導 です か ？ ,0
14,情報 が 足り ませ ん ね 。 ,1
15,打ち出し 、 批判 は もっと 強力 に ！ ,1
16,まあ 、 若い 女性 だ と キモ いと 感じる より 、 潔癖 症 すぎ て 理解 でき ない ん でしょ う ね 。 ,1
17,日本語 わかり ます か ？ ,0
18,まだ 牢獄 に い ない の が 不思議 な くらい だ 。 ,0
19,ん ？ ,0
20,女 の 体 を 最も 性的 に 見 て いる の は 誰 か と いう 。 ,1
21,東大 京大 に 入っ た 人 は 普通 に 本 読ん でる し 、 そもそも この 人 の ID が 頭 悪 すぎる 。 ,0
22,政策 提案 を メディア を 使っ て （ この 際 博報堂 と つるめ ） ,1
23,最も 信用 でき ない の が 岩田 で ある 。 ,0
24,議員 と 言う 役職 の 本来 の 仕事 を 知ら ない ん だ ね ,1
25,生まれ て この方 そんな 話 は 聞い た こと は ない が ,0
26,顔出し し て 、 友人 に 知ら れる の が 恥ずかしい と 思っ て た けど 、 そんな こと 気 に し て られ ない 。 ,1
27,発言 が 無責任 過ぎ ます 。 ,0
28,「 本当は 『 俺 が 好き な もの を 批判 する な 』 しか 考え て ない のに 、 それ を 堂々 と 言わ ず に もっと 大きな 概念 を 守ろ う と し てる フリ を する 」 ,1
29,本当に 高校生 当事者 から の 切実 な 声 な の … ？ ,0
30,ある もの を ある って それ は あなた の 勝手 な 思い込み です よ ね ？ ,0
31,私 に は サッパリ わかり ませ ん 。 ,0
32,責任 取る 必要 が ない 言葉   言質 を 取ら れ ない よう な 表現 を 使う こと に は 長け て いる よう です 。 ,1
33,そもそも 右翼 、 左翼 だけ で 区別 する 物 の 言い方 が 好き で は ない です ね 。 ,0
34,でも そんな の 、 実態 が 伴わ ない から 常に 空回り し てる ん だ よ ね 。 ,1
35,単に 負け犬 の 遠吠え やん 。 ,0
36,何 か 問題 が ある ん です か ？ ,0
37,その よう な 判断 の 責任 を 相手 に 転嫁 し て い ます が 、 あなた は 戦争 を し た 上 で の 責任 を 取る こと は 出来 ませ ん よ ね ？ ,0
38,ナザレンコ さん の この 論法 は 超 危ない 。 ,0
39,普通 の 風邪 の よう な オミクロン を 怖がら せる の は もう やめ て 欲しい し 、 ブースター 危ない って 海外 で も 言わ れ てる の に 何故 誘導 する の でしょ う か 。 。 ,1
40,エビデンス 出し て 下さい 。 ,0
41,その よう に 印象 操作 し て 一部 の 金目 教 の 人間 が 得する 社会 は 間違っ て い ます 。 ,0
42,なるほど 、 そう 信じ たい ん です ね ,0
43,謎 理論 すぎ て 草 ,1
44,こうした 責任 感 の 欠片 も 存在 し ない 戯れ言 吐く 輩 が 相手 に 責任 感 を 求める など 笑止千万 。 ,0
45,見 て いる 範囲 が 狭 すぎる ん じゃ ない です か ？ ,0
46,生活 環境 まで 政府 に ケツ 持た せる とか 言っ て て 恥ずかしく 無い の か ？ ,0
47,ゴ 〇 ,0
48,只 の 共感 性 羞恥 ( 御 持ち ) の ヒステリー か 商売 の 種 を 撒い てる だけ よ 。 ,1
49,それ を 知ら ない はず は あり ませ ん よ ね ？ ,1
50,それ を ただ 単に 右左 で 語っ て しまう 議論 が 稚拙 だ な と 思い ます 。 ,0
51,借金 いくら ある の ？ ねぇ ,0
52,小学生 か な ？ ,0
53,政治 で は どんな 主張 も 構わ ない と 思う が 、 正しく ない 事実 に 基づい て は いけ ない 。 ,0
54,知ら ない こと を ギャンブル 呼ばわり する とか バカ すぎ です 。 ,1
55,生理 を 体験 し たい なら 、 魔法 を かけ て あげる 。 ,1
56,その 団体 に 陽性 者 が いれ ば バイオ テロ は 真 も 、 陽 陰 わから ぬ 中 で バイオ テロ は 過度 な 非難 。 ,1
57,病気 じゃ ない ？ ,0
58,個人 的 に くそ なん ちゃん ら とか って 言う 言い回し が 大嫌い です 。 ,0
