id1,id2,comment1,comment2,similarity
800,1012,ドラマ みたい な こと 本当に する やつ いる ん だ な ,ドラマ みたい な 事件 だ な ,0.499619678
596,670,お母さん は 亡くなり 、 お父さん は お母さん を 殺害 し た 容疑 で 逮捕 。 ,お母さん は 殺さ れ て 、 お父さん は 刑務所 。 ,0.499424566
30,260,また 犯人 も 奥さん も 旧 帝 出 の エリート で 犯人 は 博士 号 まで 取得 し て おり 優秀 で あっ た の は 間違い ない 。 ,何 が あっ た の か わから ない けど 、 博士 号 まで 取得 し た 人 だ から 、 エリート だ よ ね ？ ,0.498819153
481,1029,クスリ の 専門 家 が メタノール で 妻 を 殺害 する か ？ ,メタノール で 殺害 ？ ,0.498795268
538,596,お子さん も おら れる のに 、 お母さん が 亡くなり 、 お父さん が 殺人 容疑 で 逮捕 さ れ ただ なんて 、 大変 な こと に なっ て しまい まし た ね 。 ,お母さん は 亡くなり 、 お父さん は お母さん を 殺害 し た 容疑 で 逮捕 。 ,0.498104299
446,568,犯人 は この 人 な の か ？ ,この 人 を 犯人 と 決める の は まだ 早い の で は ない か ？ ,0.497922263
846,857,子供 も いる のに 最低 だ ね 。 ,子供 も いる のに この 男 は 何 やっ て ん の ？ ,0.497584891
920,1051,サイコパス か こいつ ？ ,最低 や な こいつ ,0.497553071
321,339,残さ れ た 子供 が 心配 で かわいそう です 。 ,かわいそう だ 。 ,0.497469742
223,469,一体 何 が あっ た の だろ う か ？ ,どちら も 凄い エリート です が 、 一体 何 が あっ た の でしょ う か ？ ,0.497164473
676,704,殺さ れ た 京大 大学院 出 の 妻 。 ,えっ 、 、 高学歴 な 夫婦 が 、 、 、 奥さん 京大 大学院 て 。 ,0.496956583
354,513,何 が あっ た ん だろ う か ？ ,動機 が あっ た ？ ,0.496216295
513,936,動機 が あっ た ？ ,何 か あっ た ん だろ う ね ,0.496216295
952,1004,２ 時間 ドラマ の よう な 事件 ,ドラマ で あり そう な 事件 だ な ,0.495355655
174,321,お子さん が 心配 です ね 。 ,残さ れ た 子供 が 心配 で かわいそう です 。 ,0.494949356
422,722,夫婦 の 間 で 一体 何 が あっ た の か 。 ,一体 何 考え てる ん だ ？ ,0.493392576
760,968,お子さん も 被害 者 も 気の毒 です ね 。 ,1 番 の 被害 者 は 子供 か な ？ ,0.491836809
99,123,子供 も いる の に 何故 殺そ う と 思っ た の か ？ ,何故 ？ ,0.491757668
661,966,ていう か 、 イケメン や なぁ ,犯行 は ともかく 、 イケメン だ なぁ 。 ,0.491576464
128,258,こんな 人 は メタノール 以外 も 自由 に 手 に 入り そう な のに なんで メタノール な の か も 不思議 です よ ね ,なんで メタノール ？ ,0.490050269
125,355,御 長男 が 気の毒 だ 。 ,お子さん が 気の毒 だ 。 ,0.488441698
422,579,夫婦 の 間 で 一体 何 が あっ た の か 。 ,何 か あっ た の か な 。 ,0.487008961
422,900,夫婦 の 間 で 一体 何 が あっ た の か 。 ,あっ た ん だ 。 。 。 ,0.487008961
836,850,冤罪 ？ ,冤罪 と し たら 、 あまりに 不憫 。 ,0.48653763
717,846,子供 も いる のに 、 薬殺 ？ ,子供 も いる のに 最低 だ ね 。 ,0.486067741
693,898,殺し た 「 い ほど 憎ん で 」 ,殺し たい ほど の 何 か が あっ た ん です ね 。 ,0.485749366
475,1004,なんか 相棒 で あり そう な 事件 です ね 。 ,ドラマ で あり そう な 事件 だ な ,0.485741216
321,771,残さ れ た 子供 が 心配 で かわいそう です 。 ,残さ れ た 子供 さん が 、 不憫 です 。 ,0.485339818
186,973,何より 、 殺さ なく て も 別れれ ば 済む 話 だっ た の で は 。 ,単に 別れれ ば いい のに 、 殺さ なく て も ・ ・ ・ ,0.485217056
356,1018,会社 の イメージ が 落ち た ,第 一 三共 も 落ち た な ,0.484834588
338,668,子供 は どう なる 。 ,子供 どう なっ ちゃう ん だろ 。 。 ,0.483800613
93,652,第 一 三共 の 新薬 開発 研究 者 なら この よう に わかり やすい 、 見つかり やすい 試薬 は 使う 訳 が ない 。 ,それ が 女 なら 、 わかり やすい 事件 な ん だ が … … 。 ,0.483439823
177,922,メタノール なんて なん に でも 入っ てる だろ う 。 ,メタノール の 毒性 なんて 誰 でも 知っ てる 。 ,0.48313852
717,857,子供 も いる のに 、 薬殺 ？ ,子供 も いる のに この 男 は 何 やっ て ん の ？ ,0.483121744
598,816,奥さん の 方 が 優秀 だっ た ん だろ う ね 。 ,奥さん の 方 が 高 学歴 で 優秀 だっ た のに 、 結婚 で 辞め ちゃっ た の ね … 。 ,0.48293843
1000,1012,不謹慎 だけ と 刑事 物 の ドラマ みたい … 。 ,ドラマ みたい な 事件 だ な ,0.482890154
954,998,動機 が 今一つ わから ない です ね ,人生 わから ない です 。 ,0.481184511
446,888,犯人 は この 人 な の か ？ ,犯人 は 旦那 だ ！ ,0.480840565
578,811,凄い 優秀 な 夫婦 な のに 。 ,夫婦 共に 凄い 経歴 。 ,0.478824787
974,979,他 に いい 女 が でき た の か な ？ ,髪型 と いい 面 つき と いい 。 ,0.477556302
240,346,小学生 の お子さん 、 今後 が 心配 です 。 ,お子さん が 本当に 心配 ,0.477198391
997,1029,殺害 できる 嫁 も い ない ,メタノール で 殺害 ？ ,0.476894249
955,1029,夫 は 殺害 を 否定 。 ,メタノール で 殺害 ？ ,0.476090559
594,866,本当に 何 が ある か わから ない 。 ,子供 が 本当に 本当に かわい そう 。 ,0.475537445
631,771,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,残さ れ た 子供 さん が 、 不憫 です 。 ,0.475465566
673,771,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,残さ れ た 子供 さん が 、 不憫 です 。 ,0.475465566
341,634,色々 と もったいない な ,しかし 、 、 、 もったいない 。 ,0.475032595
961,1004,安い ドラマ の よう な 事件 だ ,ドラマ で あり そう な 事件 だ な ,0.473734233
422,469,夫婦 の 間 で 一体 何 が あっ た の か 。 ,どちら も 凄い エリート です が 、 一体 何 が あっ た の でしょ う か ？ ,0.473455918
607,777,本人 が 否定 し てる ので まだ なんとも 言え ない けど 。 ,本人 は 否定 し て いる … ,0.473431976
116,752,完全 犯罪 に する 気 は なかっ た ん だろ う と は 思う 。 ,これ で 自殺 の 完全 犯罪 でも 企ん で い た の だろ う か ？ ,0.472992476
321,548,残さ れ た 子供 が 心配 で かわいそう です 。 ,残さ れ た まだ 幼い 子供 の 行く末 が 心配 だ 。 ,0.472726961
276,742,そう だ 。 ,子供 かわい そう 。 ,0.471349103
742,937,子供 かわい そう 。 ,根 は 深 そう だ ,0.471349103
189,268,メタノール を 選ぶ という の は 違和感 が ある 。 ,何故 メタノール を 選ぶ ？ ,0.470969741
684,866,本当に この 人 が やっ た の ？ ,子供 が 本当に 本当に かわい そう 。 ,0.470436605
346,866,お子さん が 本当に 心配 ,子供 が 本当に 本当に かわい そう 。 ,0.468718863
59,643,アルコール ランプ の 燃料 は メタノール です よ ね 。 ,アルコール ランプ の 燃料 で そこら に 売っ てる よ 、 普通 もっと 解明 の でき ない 薬 じゃ 無い の ？ ,0.466221859
321,1020,残さ れ た 子供 が 心配 で かわいそう です 。 ,残さ れ た 子供 が 不憫 ,0.465138268
290,378,子供 の こと を 1 % で も 考え たら 、 そこ まで は ね 。 ,奥様 も 、 まさか そこ まで やる と は 考え なかっ た の でしょ う ね 。 ,0.464130895
243,609,どんな 盛ら れ 方 し た ん だろ 。 ,お子さん は 今 どんな 気持ち だろ う 。 ,0.463909767
279,682,どう やっ て 証拠 を 見つける の だろ う 。 ,自 死 で は ない 証拠 が 出 た の だろ う か 。 ,0.463567105
401,540,冤罪 じゃ ない の か ？ ,これ さ 、 冤罪 だっ たら 、 サリン 事件 の 冤罪 と 同じ だ よ 。 ,0.463207082
258,601,なんで メタノール ？ ,メタノール か 。 ,0.462783777
123,767,何故 ？ ,まずは 、 頭脳 明晰 な お 二 人 が 何故 ？ ,0.462576943
353,661,イケメン かも ,ていう か 、 イケメン や なぁ ,0.462403321
255,830,何 か 意味 深 な 理由 が ある の かも しれ ない 。 ,山上 と 同じく 背景 に 何 か 理由 が あっ て の 殺害 かも しれ ない よ 。 ,0.462299752
225,330,子供 が かわいそう だ 。 ,子ども が かわいそう で 気 に なる 。 ,0.461116472
330,348,子ども が かわいそう で 気 に なる 。 ,子供 が かわいそう だ 。 ,0.461116472
330,894,子ども が かわいそう で 気 に なる 。 ,子供 も かわいそう だ 。 ,0.461116472
191,905,ころっと いく 感じ じゃ ない し 、 、 ,見 た 感じ ,0.460840722
43,646,真相 は 、 その 先 だ 。 ,なん だ 、 その 髪 は ? ,0.460139726
535,597,子供 さん の こと を 思う と 、 自殺 か 何 か で あっ て ほしい 。 ,何 か の 間違い で あっ て ほしい 、 そう 思う の は 私 だけ か な 。 ,0.459442819
276,1004,そう だ 。 ,ドラマ で あり そう な 事件 だ な ,0.458986303
937,1004,根 は 深 そう だ ,ドラマ で あり そう な 事件 だ な ,0.458986303
244,927,奥さん で 実験 し て た とか じゃ ない よ ね … 。 ,新薬 の 実験 台 に さ れ た わけ じゃ なく ？ ,0.458856082
455,897,家庭 内 の こと は 分から ない が 、 形 だけ 見 たら 絵 に 描い た よう な エリート 夫婦 じゃ ない か 。 ,絵 に 描い た よう な エリート カップル 。 ,0.458814684
479,562,記事 に は 、 夫 が 妻 を 殺す 理由 の 説明 が ない 。 ,夫 に は 殺す 理由 が ある という か 、 記事 に は 書け ない 秘密 の 暴露 的 な 、 、 、 逮捕 に 至る 理由 が ある の だろ う けど 。 。 。 ,0.458723632
597,889,何 か の 間違い で あっ て ほしい 、 そう 思う の は 私 だけ か な 。 ,間違い ない ！ ,0.457693206
874,948,嫌 なら 離婚 。 ,殺害 する くらい なら 離婚 すれ ば よかっ た のに 。 ,0.457654759
315,958,第 一 三共 信用 出来る 会社 な の ？ ,これ で 第 一 三共 ヘルスケア の 信用 も 地 に 落ち た な 。 ,0.456975466
329,923,こんな こと 。 ,こんな の が 製薬 会社 で 働い て い た こと が 恐ろしい 。 ,0.456904999
760,917,お子さん も 被害 者 も 気の毒 です ね 。 ,子供 が 気の毒 ,0.456796357
474,951,息子 さん も 調べ られ た 上 で 旦那 が 逮捕 さ れ た の か な … ,息子 さん かわいそう だ わ 。 ,0.456731189
483,954,動機 は 女 か 金 ？ ,動機 が 今一つ わから ない です ね ,0.456291873
954,1014,動機 が 今一つ わから ない です ね ,動機 は ？ ！ ,0.456291873
355,539,お子さん が 気の毒 だ 。 ,奥さん も もちろん です が 、 状況 から 見 て お子さん が 一番 気の毒 に 思い ます 。 ,0.455940358
351,635,人生 って そんな もん か 。 ,全て 人生 終わっ た よう な もん 。 ,0.455783132
225,951,子供 が かわいそう だ 。 ,息子 さん かわいそう だ わ 。 ,0.455464079
348,951,子供 が かわいそう だ 。 ,息子 さん かわいそう だ わ 。 ,0.455464079
894,951,子供 も かわいそう だ 。 ,息子 さん かわいそう だ わ 。 ,0.455464079
631,729,残さ れ た 子供 が かわいそう だ な ・ ・ ・ ・ ,残さ れ た 子供 が 可哀そう 過ぎる 。 ,0.455332503
673,729,子供 が 一 人 残さ れ て かわいそう だ よ 。 ,残さ れ た 子供 が 可哀そう 過ぎる 。 ,0.455332503
594,998,本当に 何 が ある か わから ない 。 ,人生 わから ない です 。 ,0.454151762
442,705,これ は 、 慎重 に 捜査 し ない と 、 、 、 この 人 じゃ ない 可能 性 も ある よ 。 ,何 じゃ これ ！ ,0.453695986
188,904,心 の ケア が 心配 だ 。 ,小学生 の 長男 が 心配 周り の 大人 に ケア し て もらえ ます よう に ,0.453682278
298,354,こんなにも 優秀 な 夫婦 な のに 何 が あっ た ん だろ う ？ ,何 が あっ た ん だろ う か ？ ,0.453137146
298,936,こんなにも 優秀 な 夫婦 な のに 何 が あっ た ん だろ う ？ ,何 か あっ た ん だろ う ね ,0.453137146
624,889,間違い で 奥さん が 自分 で メタノール を 口 に する こと が ある だろ う か 。 ,間違い ない ！ ,0.453036082
