,Unnamed: 0,comment_sentence,label
146,17684,それ自分にも刺さらない？,0.0
174,20838,恐怖心煽り社会を混乱させてる。,0.0
116,15181,何回同じような事言ってるんですか,0.0
99,12883,自己紹介,0.0
338,34139,#きっこ左翼の言葉の汚さ。,0.0
535,113,「本当は『俺が好きなものを批判するな』しか考えてないのに、それを堂々と言わずにもっと大きな概念を守ろうとしてるフリをする」,1.0
190,23810,貴方個人の感想、ワガママでディストピア作られちゃかなわんよ。,0.0
554,132,稚拙ですねぇ笑,1.0
47,2629,このプロフィールから滲み出る頭の悪さよ,0.0
685,263,愛国者の定義を変えなければいけないね。,1.0
176,21471,最も信用できないのが岩田である。,0.0
785,363,いや、そんな程度の話じゃないよね。,1.0
34,2293,じゃあ日本からでてけば？,0.0
746,324,トルコ難民のクルド人などはその仲間と見て良いかと。,1.0
679,257,自分の都合でずる賢く周りの顔色を窺い自説を曲げる奴は腹の底でいつ裏切るか分からない,1.0
107,13006,まけいぬよ哀れなオッサン,0.0
598,176,ほんそれ。,1.0
356,34202,人生を勝ち負けと言ってる時点で薄っぺらなんだよ,0.0
317,34051,まるっきり反対派の主張内容を脳内で生成してるっぽくて、このあたりは表自だとかと共通する妄想系が多いね。,0.0
161,19163,むろん「何故GDPはこの30年日本だけが伸びないのか」みたいな話すら出来ない。,0.0
499,77,これで終わりにするつもり？…と感じました。,1.0
184,22707,お里が知れますね。,0.0
213,29661,日本語の勉強からし直しておいで,0.0
96,11597,現実を見てどーぞ,0.0
188,23557,個人的にくそなんちゃんらとかって言う言い回しが大嫌いです。,0.0
369,34259,誰も共感しないのがなぜか？を考えたことがありますか？,0.0
234,33683,なぜ彼が女性にモテなくて辛い人生を送っているのかというと、女性が悪いのではなく彼が彼だからに他ならない,0.0
528,106,と言うかその手の人間てホントに読んでるのかも割と疑問な気が(笑),1.0
149,17697,だとしたら貴方には人として大事なものが欠けてますね。,0.0
653,231,多文化共生ってしなくてはいけないのですか？,1.0
296,33967,借金いくらあるの？ねぇ,0.0
360,34234,品の無いタグやのぅ,0.0
790,368,何でも海外の動きに合わせる必要はない。,1.0
810,388,知らないの？,1.0
747,325,…コロナ騒動のお陰で情報操作するメディアに気付けてある意味よかった。,1.0
774,352,我々日本人は農耕民族。,1.0
816,394,本当は貧しくないのに本当に貧しい人に向けた補助金を受給していた自民党員が居ましたね,1.0
621,199,②仕事以外のコミュニティに入る。,1.0
187,23556,投資会のシバターみたいで嫌いです。,0.0
41,2338,『戦いになると抵抗出来ず『差別主義者！』と叫んで逃げるしか脳のない女性』を体現してるだけやないの。,0.0
563,141,凍結されたよ！,1.0
749,327,子供は国の宝です,1.0
725,303,こんな世の中なのに僕はパチンコで負けて悩んでたんだ。と思いしらされましま。,1.0
207,26227,メディアが現実に与える影響を一緒くたにするなバカ,0.0
588,166,ボロクソに言う世間に何の矛盾も感じることなく胡座をかいているのが太田。,1.0
302,34000,事勿れ外交を繰り返し国益を損ない続けた人物がどの口で？,0.0
531,109,お金を稼ぐ目的の1つです,1.0
352,34189,そんなわけ無いだろ笑,0.0
343,34149,だから根拠なく根拠なくって、根拠なくという根拠を述べてみてくれ。,0.0
719,297,ネトウヨは本人がなりたくて選択してるので何を言われても本人の責任です。,1.0
405,34352,お前みたいなおぱよさんでもまともな職にありつけてる事に感謝すべきでは？,0.0
69,9821,本を読んだから賢い！なんて考え方が子供過ぎる（笑）,0.0
671,249,それは簡単です。,1.0
634,212,気づいてないのはどっちw,1.0
9,1010,ネトウヨ究めてんなー,0.0
389,34296,？,0.0
735,313,決められた金額で遊べば問題ない。,1.0
68,7856,公文書改竄を推奨しろって事脳ミソ沸騰しとる,0.0
660,238,貧困は不治の病だって。,1.0
736,314,騒音被害。,1.0
772,350,憲法違反するな～,1.0
651,229,「お互い様」とは、よく言ったもので。,1.0
265,33853,田母神氏の、この ↓ ツイートの意味がわからない。,0.0
766,344,反日教育は近隣諸国条項とそれに従う政治家と官僚の影響です。,1.0
486,64,もう帰っていいんじゃない？,1.0
510,88,昔の戦国武将や大名だって新しい文化に手を出せば今で言うオタクですよね？,1.0
715,293,細胞から金を巻き上げ、豪邸に住む志位和夫の独裁も20年になりました?,1.0
737,315,本当に、本当におっしゃる通りだと思います！,1.0
311,34016,ウソつくな。,0.0
298,33986,雑な誘導は逆効果です。,0.0
214,29941,自分が理解出来ないから認めないなら「多様性」を理解してない。,0.0
674,252,私立ならいじめを受けないだろうという謎の価値観。,1.0
478,56,私もそう思います！,1.0
618,196,男をそういう見方しかしてないと。,1.0
429,7,こんな条例に自分の家のことに口出しされたくないわ！,1.0
7,908,ソースは？,0.0
406,34353,何を言ってんだ？,0.0
633,211,必要だったのは聞いてくれる人とそこから離れる時一緒に居てくれる人。,1.0
835,413,これ以上社会経済活動を止められたら2年3年後には国中の中小零細企業は大変な局面を迎える事になる！,1.0
688,266,orzそれが事実なら、日本みたいに米国でも人気のない夜道を女性1人で歩いたり、子供1人で通学させたりしてるんですかね…,1.0
101,12885,君の発言全て胡散臭いけどな。,0.0
33,2292,こういうコントは面白いんだけどな時々ライン越えの発言するからな,0.0
183,22308,理屈が分からん,0.0
542,120,まさか私の親族以外は女性差別してると思ってますか？,1.0
17,1277,まぁ女叩きしてる時点でもてねえわな,0.0
102,12933,キッショ,0.0
669,247,仰る通りです。,1.0
461,39,表現を規制する方向ではなく、正しい情報を別に発信する方法が妥当だと考えます。,1.0
288,33958,ギャンブルの為の口座やアプリを勧める人が言える発言ではありませんよ,0.0
390,34311,このツイートは事実に基づくものなの？,0.0
209,26246,論点がおかしいですよ。,0.0
13,1051,中身ー無しさん,0.0
434,12,まぁ、それも嫌だけど。,1.0
741,319,大切な人→元々、誰も友達いない信用、信頼→オオカミ中年なので元々信用も信頼もない借金→大手消費者金融から催促が来たが踏み倒し。,1.0
770,348,こんな事いうのが、意識高い系の知識人・・・？？。,1.0
578,156,大日本帝国の極悪時代があるでしょう。,1.0
357,34204,大丈夫かこいつ頭がお悪くいらっしゃる、、,0.0
522,100,勝手な妄想でそれらしく言い募っているだけ。,1.0
612,190,そうでも無い気がします。,1.0
118,15228,何もしなかったあなたのせいでしょうが！,0.0
697,275,名目は平等を掲げているのに、やっている事は自分の価値観の押し付け、自分さえ良ければいいという利己主義でしかないんだから。,1.0
189,23617,言うだけだったら誰でも出来んだぜ行動に移しな,0.0
227,33410,ばかばっかり,0.0
724,302,議会しっかりしろ！,1.0
44,2412,馬鹿ばっかです。,0.0
